Time_Sec,CPU_Percent_Total,Memory_GB
1.0,57.78,0.3009
2.0,67.21,0.4782
3.0,66.72,0.6759
4.01,71.07,0.8164
5.01,69.83,0.9532
6.01,85.22,0.988
7.01,86.71,1.0727
8.01,78.0,1.1934
9.01,72.12,1.2662
10.01,75.99,1.4348
11.02,57.73,1.5868
12.02,73.63,1.7282
13.02,85.09,2.0123
14.02,90.38,2.1515
15.02,85.93,2.1627
16.02,79.0,2.3911
17.02,77.62,2.6438
18.03,77.56,2.9393
19.03,76.96,3.3753
20.03,76.99,3.8695
21.03,76.92,4.3845
22.03,75.73,4.9326
23.03,75.93,5.4584
24.03,80.99,5.7022
25.04,62.69,6.0131
26.04,30.86,6.3717
27.04,28.4,6.7277
28.04,35.58,7.0451
29.04,26.18,7.0451
30.04,25.77,7.0451
31.05,25.42,7.0451
32.05,25.27,7.0452
33.05,25.48,7.0452
34.05,46.32,7.0458
35.05,81.12,7.0613
36.05,78.06,7.0646
37.05,76.37,7.0718
38.06,75.44,7.0875
39.06,77.01,7.0914
40.06,77.75,7.1882
41.06,70.72,7.1891
42.06,68.72,7.1894
43.06,78.99,7.1901
44.06,33.34,7.1919
45.07,25.19,7.1919
46.07,25.3,7.1807
47.07,26.61,7.1808
48.07,25.22,7.1808
49.07,25.21,7.1808
50.07,25.65,7.1808
51.07,52.19,7.5282
52.08,39.96,1.5495
53.08,51.07,1.6275
54.08,88.44,2.0441
55.08,89.06,2.1554
56.08,86.28,2.2596
57.08,77.67,2.5241
58.08,77.5,2.8252
59.09,77.2,3.2444
60.09,78.14,3.7047
61.09,77.03,4.1475
62.09,76.04,4.6115
63.09,75.44,5.1164
64.09,75.61,5.6031
65.1,81.8,5.764
66.1,55.99,6.0769
67.1,26.56,6.4057
68.1,36.28,6.8525
69.1,28.68,6.9527
70.1,30.62,6.9537
71.1,28.01,6.9537
72.11,26.36,6.9538
73.11,25.24,6.9538
74.11,25.14,6.9538
75.11,72.12,6.9633
76.11,81.44,7.0833
77.11,75.89,7.0808
78.11,75.41,7.082
79.12,75.36,7.0971
80.12,75.71,7.0975
81.12,79.14,7.1955
82.12,75.14,7.1974
83.12,76.31,7.1978
84.12,52.5,7.1983
85.12,27.1,7.1984
86.12,27.58,7.1984
87.13,25.76,7.1984
88.13,25.14,7.1984
89.13,25.23,7.1984
90.13,25.17,7.1984
91.13,25.18,7.1984
92.13,59.57,4.8607
93.14,36.0,1.5849
94.14,78.2,1.7594
95.14,88.48,1.8939
96.14,70.24,2.1325
97.14,30.38,2.6764
98.14,27.03,3.2258
99.14,86.23,3.6156
100.15,65.47,4.1792
101.15,39.64,4.7427
102.15,40.13,1.5693
103.15,58.77,1.6584
104.15,81.27,1.9229
105.15,91.95,2.018
106.15,85.51,2.3764
107.16,78.56,2.7611
108.16,82.16,3.1243
109.16,80.53,3.3598
110.16,77.75,3.7681
111.16,76.59,4.1932
112.16,76.14,4.6308
113.16,79.92,5.0236
114.16,36.65,1.5856
115.17,73.22,1.7871
116.17,86.45,2.1927
117.17,92.91,2.208
118.17,81.22,2.4829
119.17,79.14,2.7504
120.17,79.22,3.009
121.17,78.62,3.2544
122.18,75.67,3.5609
123.18,40.46,4.0116
124.18,31.87,4.4421
125.18,28.69,4.8696
126.18,61.09,5.1799
127.18,78.74,5.6043
128.19,77.5,6.0513
129.19,76.19,6.4649
130.19,79.69,6.9295
131.19,76.89,7.022
132.19,72.73,7.0252
133.19,31.88,7.0253
134.19,25.2,7.0253
135.2,44.49,2.4207
136.2,56.04,1.6477
137.2,89.68,1.8858
138.2,84.67,2.0536
139.2,83.99,2.2055
140.2,79.37,2.4726
141.2,68.37,1.5368
142.21,45.65,1.6096
143.21,81.78,1.8281
144.21,90.46,1.9445
145.21,84.71,2.1569
146.21,75.88,2.3658
147.21,80.3,2.5464
148.21,77.53,2.8555
149.22,77.75,3.1423
150.22,52.41,1.6235
151.22,58.87,1.7175
152.22,86.68,1.9155
153.22,86.19,2.0642
154.22,68.98,2.3321
155.22,80.32,2.5918
156.22,53.6,1.5535
157.23,64.06,1.7894
158.23,88.87,1.9541
159.23,86.14,2.2819
160.23,54.95,1.7273
161.23,84.9,1.9433
162.23,91.48,1.9829
163.23,80.36,2.2059
164.24,52.9,1.7446
165.24,74.8,1.9165
166.24,89.56,2.0529
167.24,78.65,2.1972
168.24,74.98,2.4463
169.24,77.73,2.6886
170.24,37.2,1.76
171.24,77.97,1.9569
172.25,89.3,2.1161
173.25,85.67,2.1826
174.25,80.83,2.4098
175.25,74.6,1.8954
176.25,42.03,1.7686
177.25,79.74,1.9435
178.26,86.99,2.091
179.26,83.05,2.3163
180.26,80.19,2.4682
181.26,80.92,2.6641
182.26,75.73,2.9117
183.26,40.01,3.4
184.26,28.67,3.8886
185.27,26.42,4.3874
186.27,29.68,4.8606
187.27,26.12,5.3134
188.27,25.75,5.768
189.27,52.99,6.0507
190.27,79.7,6.4474
191.27,78.74,6.9253
192.28,58.32,7.0275
193.28,31.42,7.0276
194.28,26.81,7.0276
195.28,25.93,7.0276
196.28,25.99,7.0276
197.28,41.92,7.0281
198.28,36.51,1.7341
199.29,53.87,1.8075
200.29,86.79,2.0417
201.29,87.45,2.1848
202.29,80.02,2.4025
203.29,75.21,2.6131
204.29,55.46,2.8842
205.29,78.76,3.2163
206.3,77.11,3.6397
207.3,56.81,1.724
208.3,50.65,1.8031
209.3,87.05,2.0198
210.3,88.28,2.1093
211.3,82.02,2.4213
212.3,77.5,2.7568
213.31,26.82,3.305
214.31,30.9,3.8302
215.31,26.78,4.366
216.31,37.12,4.8582
217.31,25.51,5.3412
218.31,25.81,5.8323
219.32,29.44,6.3195
220.32,26.41,6.8109
221.32,27.93,6.947
222.32,25.58,6.947
223.32,37.13,6.948
224.32,80.52,6.9636
225.33,78.83,6.976
226.33,64.33,6.9773
227.33,28.61,6.9652
228.33,28.82,6.9654
229.33,27.46,6.9654
230.33,27.76,6.9656
231.34,26.22,6.9656
232.34,32.99,6.9779
233.34,25.9,6.9779
234.34,25.45,6.9779
235.34,33.06,4.6143
236.34,35.18,1.7565
237.34,73.19,1.9364
238.34,94.29,2.0595
239.35,84.0,2.2144
240.35,69.09,2.4297
241.35,79.12,2.7426
242.35,79.09,3.1433
243.35,42.49,1.7839
244.35,89.21,2.0448
245.35,89.43,2.1158
246.36,58.0,2.3558
247.36,39.25,2.6181
248.36,82.87,2.949
249.36,75.92,3.4598
250.36,42.37,1.7608
251.36,76.9,1.9309
252.36,90.39,2.0811
253.36,83.3,2.2801
254.37,34.11,2.6093
255.37,60.79,2.8495
256.37,84.02,3.0978
257.37,50.93,3.4583
258.37,35.0,1.7186
259.37,47.45,1.7945
260.37,85.18,2.03
261.38,89.81,2.0692
262.38,77.01,2.2208
263.38,68.51,2.4202
264.38,83.24,2.6877
265.38,55.61,1.7544
266.38,81.21,2.0439
267.38,91.25,2.2892
268.38,82.86,2.2914
269.39,77.03,2.4709
270.39,77.42,2.6608
271.39,76.65,2.9893
272.39,78.5,3.2839
273.39,81.39,3.5551
274.39,49.54,3.9716
275.4,32.27,4.4007
276.4,33.21,4.8311
277.4,29.56,5.2641
278.4,66.83,5.5827
279.4,26.9,6.0967
280.4,25.81,6.5885
281.41,30.18,7.0314
282.41,25.68,7.0764
283.41,68.33,7.0847
284.41,78.6,7.1037
285.41,76.64,7.1042
286.41,76.47,7.1044
287.42,77.48,7.105
288.42,75.35,7.1242
289.42,54.57,7.1205
290.42,28.78,7.1207
291.42,36.29,7.1209
292.42,37.76,7.1947
293.43,25.87,7.1947
294.43,30.33,7.1947
295.43,36.52,6.7393
296.43,34.76,1.7611
297.43,71.77,1.9375
298.43,85.14,2.1993
299.43,91.04,2.2939
300.44,83.92,2.4018
301.44,77.63,2.5688
302.44,76.89,2.7381
303.44,75.5,2.8863
304.44,76.42,3.1327
305.44,80.53,3.3866
306.44,69.48,3.7225
307.45,32.24,4.1406
308.45,27.83,4.5863
309.45,34.2,5.0254
310.45,36.81,5.4586
311.45,63.99,5.7366
312.45,30.35,6.2687
313.46,25.45,6.7961
314.46,30.97,7.0708
315.46,26.42,7.0708
316.46,25.64,7.0708
317.46,34.96,7.0719
318.46,77.3,7.0794
319.47,79.48,7.0968
320.47,76.26,7.0972
321.47,76.33,7.1002
322.47,75.71,7.1045
323.47,77.53,7.1079
324.47,42.98,7.1119
325.48,26.18,7.1119
326.48,41.3,7.3138
327.48,25.3,7.3138
328.48,47.47,7.314
329.48,26.14,7.314
330.48,25.92,7.314
331.48,25.41,7.3043
332.49,25.73,7.3043
333.49,28.54,7.3043
334.49,45.21,1.8128
335.49,41.82,1.7758
336.49,82.46,2.0289
337.5,84.58,2.3216
338.5,92.18,2.4682
339.5,82.11,2.8629
340.5,77.03,3.3043
341.5,76.32,3.7712
342.5,77.44,4.2398
343.51,77.15,4.673
344.51,81.41,4.8906
345.51,50.67,5.1908
346.51,39.21,5.4948
347.51,30.32,5.7936
348.51,33.25,6.1606
349.52,29.1,6.4763
350.52,58.57,6.7876
351.52,79.76,7.0937
352.52,77.46,7.1887
353.52,75.98,7.1892
354.52,75.3,7.1909
355.52,75.62,7.2136
356.53,76.78,7.2182
357.53,76.7,7.219
358.53,73.83,7.2206
359.53,25.37,7.2206
360.53,25.25,7.2054
361.53,25.28,7.2054
362.54,25.24,7.2054
363.54,45.19,7.5477
364.54,45.29,1.7308
365.54,69.78,1.9351
366.54,90.78,2.1454
367.54,87.33,2.4921
368.54,82.78,2.8835
369.54,80.47,3.2805
370.55,47.93,1.7743
371.55,83.96,2.124
