Time_Sec,CPU_Percent_Total,Memory_GB
1.0,58.3,0.2472
2.0,67.78,0.5462
3.0,71.08,0.7926
4.0,71.95,0.9422
5.01,80.97,0.9745
6.01,87.42,1.1135
7.01,78.47,1.2314
8.01,79.47,1.4176
9.01,62.32,1.5846
10.01,73.69,1.7602
11.01,85.47,2.0452
12.02,92.37,2.1584
13.02,84.34,2.2406
14.02,74.42,2.4407
15.02,81.37,2.7334
16.02,79.42,3.0476
17.02,78.22,3.304
18.02,75.54,3.6612
19.03,77.36,4.0744
20.03,77.03,4.52
21.03,76.08,5.0214
22.03,76.71,5.5279
23.03,79.64,5.8937
24.03,79.76,6.2458
25.04,78.99,6.5658
26.04,80.57,7.0002
27.04,75.9,7.1034
28.04,76.37,7.1039
29.04,75.77,7.1042
30.04,76.37,7.105
31.04,76.69,7.1059
32.05,57.07,7.1064
33.05,66.96,7.1067
34.05,43.18,4.2445
35.05,45.59,1.5939
36.05,89.1,1.9333
37.05,88.76,2.1582
38.05,83.8,2.269
39.06,77.36,2.5265
40.06,77.59,2.8552
41.06,79.99,3.1614
42.06,77.75,3.5916
43.06,76.72,4.0099
44.06,76.25,4.4463
45.06,76.77,4.9109
46.07,77.44,5.4127
47.07,79.51,5.8018
48.07,77.49,6.2046
49.07,81.42,6.5667
50.07,79.53,6.9743
51.07,76.39,7.1079
52.07,76.29,7.1098
53.08,75.71,7.1099
54.08,75.58,7.1099
55.08,75.69,7.1099
56.08,75.46,7.1115
57.08,75.74,7.1132
58.08,75.29,7.1138
59.08,75.71,7.1142
60.09,36.33,1.5541
61.09,74.11,1.7618
62.09,90.7,1.9156
63.09,75.89,1.5168
64.09,47.46,1.6069
65.09,86.54,1.8515
66.09,91.58,1.9981
67.09,82.13,2.1027
68.1,60.12,1.5615
69.1,59.92,1.6594
70.1,82.05,1.9771
71.1,91.12,2.213
72.1,80.01,2.2192
73.1,85.78,2.4029
74.1,79.5,2.7796
75.1,79.96,3.0915
76.11,49.99,1.5833
77.11,86.05,1.8618
78.11,92.22,1.9734
79.11,85.64,2.3318
80.11,53.96,1.6232
81.11,89.98,1.8616
82.11,85.42,2.0669
83.12,88.11,2.2373
84.12,79.21,2.5507
85.12,67.37,1.6068
86.12,73.06,1.787
87.12,91.49,1.9371
88.12,83.9,2.1011
89.12,46.14,1.6598
90.12,81.65,1.8859
91.13,91.42,1.979
92.13,83.51,2.1401
93.13,45.73,1.6901
94.13,70.21,1.8435
95.13,89.33,1.9778
96.13,85.43,2.1322
97.13,44.26,1.7394
98.14,66.31,1.8622
99.14,89.39,2.0323
100.14,88.01,2.2621
101.14,61.39,1.7991
102.14,83.08,2.0934
103.14,91.13,2.1209
104.14,80.84,2.3968
105.14,55.42,1.8032
106.15,88.71,2.0726
107.15,89.46,2.2057
108.15,85.53,2.3883
109.15,58.89,2.642
110.15,81.53,2.9163
111.15,77.11,3.1936
112.15,47.54,1.7163
113.16,72.52,1.9215
114.16,90.98,2.0899
115.16,90.03,2.2721
116.16,83.29,2.6525
117.16,53.17,1.7499
118.16,86.69,1.9472
119.16,90.28,2.0981
120.16,86.58,2.3181
121.17,76.31,2.619
122.17,81.85,2.8706
123.17,77.44,3.1605
124.17,52.78,1.7509
125.17,82.12,1.9292
126.17,91.01,2.0656
