Time_Sec,CPU_Percent_Total,Memory_GB
1.0,62.75,0.3355
2.0,73.22,0.5964
3.0,73.65,0.9165
4.01,81.99,1.0901
5.01,85.74,1.2165
6.01,79.41,1.3445
7.01,73.91,1.4894
8.01,85.02,1.6146
9.01,55.41,1.7501
10.01,83.2,1.9684
11.02,84.05,2.2339
12.02,93.75,2.3072
13.02,82.02,2.4804
14.02,77.87,2.6973
15.02,78.13,2.9578
16.02,76.43,3.2565
17.02,76.69,3.6288
18.03,76.18,4.115
19.03,75.64,4.5658
20.03,76.22,5.1188
21.03,75.23,5.6234
22.03,80.75,5.9711
23.03,84.41,6.261
24.03,82.29,6.7669
25.04,80.02,7.1825
26.04,76.27,7.2581
27.04,75.57,7.2634
28.04,75.43,7.2636
29.04,75.91,7.264
30.04,75.69,7.2644
31.04,77.32,7.2652
32.05,76.7,6.595
33.05,43.82,1.7562
34.05,88.52,2.142
35.05,92.49,2.3251
36.05,82.84,2.4645
37.05,77.62,2.6676
38.05,79.35,2.977
39.06,78.13,3.3798
40.06,76.81,3.8438
41.06,76.76,4.3116
42.06,76.04,4.8098
43.06,77.2,5.3064
44.06,67.67,5.7836
45.06,85.9,6.0104
46.06,82.95,6.4403
47.07,79.49,7.0171
48.07,75.75,7.131
49.07,75.58,7.1568
50.07,76.63,7.1769
51.07,75.86,7.1771
52.07,76.36,7.1774
53.07,66.41,7.1777
54.08,64.76,7.178
55.08,40.54,1.7157
56.08,73.02,1.9001
57.08,93.18,2.0673
58.08,75.29,2.151
59.08,68.19,1.7162
60.08,71.61,1.954
61.09,91.41,2.1256
62.09,84.52,2.4382
63.09,79.32,2.7926
64.09,78.11,3.1865
65.09,85.21,3.4387
66.09,77.94,3.8933
67.09,75.97,4.3157
68.1,76.8,4.7377
69.1,63.12,1.701
70.1,48.88,1.7796
71.1,83.97,2.1028
72.1,86.57,2.356
73.1,86.88,2.46
74.1,79.43,2.8362
75.11,77.95,3.2057
76.11,85.37,3.4435
77.11,79.17,3.6421
78.11,78.01,3.8782
79.11,75.84,4.1774
80.11,76.98,4.4675
81.11,75.52,4.7333
82.12,75.9,5.09
83.12,59.29,1.6231
84.12,58.85,1.8179
85.12,89.19,2.0627
86.12,89.09,2.1728
87.12,81.54,2.5331
88.12,46.04,1.7467
89.12,85.86,2.0338
90.13,89.56,2.2358
91.13,87.06,2.557
92.13,80.28,2.9322
93.13,50.15,1.789
94.13,79.83,2.024
95.13,90.7,2.1232
96.13,82.83,2.3039
97.14,60.06,1.8095
98.14,57.62,1.9014
99.14,85.18,2.0988
100.14,75.93,2.1439
101.14,78.73,2.2357
102.14,39.1,1.864
103.14,79.6,2.0224
104.14,90.35,2.1366
105.15,85.37,2.3004
106.15,67.46,1.8681
107.15,48.41,1.9405
108.15,84.06,2.1602
109.15,89.24,2.2297
110.15,79.31,1.8659
111.15,69.83,2.0626
112.16,90.01,2.2696
113.16,83.7,2.32
114.16,79.25,2.6348
115.16,46.02,1.901
116.16,61.45,2.002
117.16,84.51,2.2153
118.16,87.22,2.3302
119.16,84.94,2.5316
120.17,84.49,2.6594
121.17,72.11,2.9897
122.17,80.36,3.3938
123.17,72.8,2.0814
124.17,62.97,2.0195
125.17,86.32,2.25
126.17,82.56,2.4558
127.17,82.0,2.5834
128.18,79.43,2.8286
129.18,78.62,3.0999
130.18,43.31,1.9128
131.18,72.11,2.0783
132.18,87.92,2.2367
133.18,89.52,2.5233
134.18,81.45,2.7924
135.19,82.7,3.1818
136.19,79.06,3.6294
137.19,50.8,1.964
138.19,92.16,2.2189
139.19,86.89,2.4324
140.19,82.33,2.782
141.19,61.17,1.886
142.2,52.51,1.968
143.2,87.43,2.2114
144.2,87.23,2.2458
145.2,79.03,2.3747
146.2,81.18,2.5993
147.2,49.34,1.9133
148.2,72.73,2.0708
149.2,91.94,2.2112
150.21,85.28,2.3939
151.21,74.51,1.8693
152.21,47.06,1.9427
153.21,82.48,2.1521
154.21,90.64,2.2311
155.21,82.24,2.5578
156.21,66.11,1.8704
157.22,68.25,2.0653
158.22,90.75,2.4456
159.22,93.67,2.4644
160.22,83.18,2.7034
161.22,81.45,2.9192
162.22,78.47,3.1286
163.22,77.27,3.3455
164.22,78.18,3.5732
165.23,86.83,3.7666
166.23,80.17,4.1527
167.23,76.88,4.6012
168.23,75.53,4.9666
169.23,76.62,5.2931
170.23,79.08,5.5997
171.23,45.37,1.9236
172.24,85.95,2.2602
173.24,94.06,2.4747
174.24,84.68,2.6892
175.24,79.53,2.9606
176.24,76.36,3.2295
177.24,76.49,3.5121
178.24,84.72,3.7084
179.25,68.83,3.8399
180.25,77.55,4.1527
181.25,77.46,4.421
182.25,75.7,4.654
183.25,75.85,4.9459
184.25,76.36,5.2719
185.25,77.95,5.5815
186.26,47.39,1.915
187.26,77.07,2.2454
188.26,89.02,2.48
189.26,86.17,2.6952
190.26,78.88,3.1486
191.26,75.89,3.6093
192.26,77.21,4.1074
193.27,78.31,4.546
194.27,82.68,4.8779
195.27,84.87,5.0982
196.27,76.49,5.4235
197.27,75.7,5.9096
198.27,75.81,6.4063
199.27,75.23,6.8881
200.28,78.92,7.4384
201.28,75.87,7.4431
202.28,78.66,7.4434
203.28,44.37,1.9095
204.28,78.18,2.1116
205.28,90.8,2.251
206.28,85.87,2.5169
207.28,80.3,2.7458
208.29,77.46,3.0196
209.29,62.31,1.8861
210.29,50.77,1.9645
211.29,87.33,2.2542
212.29,92.88,2.3671
213.29,82.13,2.6604
214.29,45.11,1.9179
215.3,70.98,2.0823
216.3,93.41,2.3095
217.3,87.13,2.3216
218.3,83.61,2.5594
219.3,64.46,1.8983
220.3,53.13,1.9694
221.3,82.68,2.1804
222.31,83.38,2.2216
223.31,81.99,2.4513
224.31,41.63,1.9228
225.31,76.87,2.0917
226.31,90.62,2.2079
227.31,78.85,2.3054
228.31,60.94,1.9062
229.32,60.04,1.9884
230.32,88.86,2.1894
231.32,88.59,2.2195
232.32,78.16,2.4131
233.32,58.71,1.9082
234.32,57.64,1.9862
235.33,83.85,2.2014
236.33,91.53,2.2393
237.33,78.97,2.333
238.33,82.81,2.5374
239.33,45.81,1.9244
240.33,73.91,2.0737
241.34,85.67,2.1882
242.34,84.56,2.3066
243.34,60.93,1.903
244.34,51.8,1.9785
245.34,82.67,2.2713
246.34,77.35,2.5804
247.34,77.63,2.9275
248.35,52.25,3.2795
249.35,65.41,3.8973
250.35,85.01,4.2488
251.35,90.09,4.3654
252.35,81.84,4.3756
253.35,78.71,4.385
254.35,76.77,4.3994
255.36,76.68,4.627
256.36,76.54,4.9278
257.36,75.26,5.1596
258.36,75.78,5.4046
259.36,75.45,5.7151
260.36,75.23,5.8733
261.37,66.58,6.0493
262.37,76.69,6.1938
263.37,73.11,6.3196
264.37,61.83,6.5323
265.37,43.72,6.7244
266.37,28.15,6.8507
267.38,34.35,6.9833
268.38,27.09,7.0988
269.38,29.63,7.1995
270.38,27.17,7.2907
271.38,26.11,7.4365
272.38,30.85,7.5731
273.38,26.67,7.8113
274.38,37.01,7.9848
275.39,25.47,8.0357
276.39,29.62,8.0849
277.39,28.93,8.0849
278.39,25.6,8.0849
279.39,36.62,8.0851
280.39,26.71,8.0851
281.4,25.51,8.0851
282.4,42.9,8.0851
283.4,25.72,8.0851
284.4,29.35,8.0851
285.4,34.72,8.0851
286.4,25.2,8.0851
287.4,25.5,8.0851
288.41,25.31,8.0851
289.41,29.95,8.0851
290.41,25.36,8.0851
291.41,29.17,8.0851
292.41,25.56,8.0851
293.41,26.03,8.0851
294.42,29.75,8.0851
295.42,25.91,8.0851
296.42,25.84,8.0851
297.42,30.26,8.0851
298.42,25.26,8.0851
299.42,25.28,8.0851
300.42,25.3,8.0851
301.43,25.19,8.0851
302.43,25.46,8.0851
303.43,25.28,8.0851
304.43,25.61,8.0851
305.43,25.4,8.0851
306.43,25.18,8.0851
307.44,25.28,8.0851
308.44,25.23,8.0851
309.44,25.16,8.0851
310.44,25.34,8.0851
311.44,25.18,8.0851
312.44,29.4,8.0851
313.45,25.2,8.0851
314.45,25.9,8.0851
315.45,25.21,8.0851
316.45,25.2,8.0851
317.45,25.35,8.0851
318.45,25.75,8.0851
319.46,25.17,8.0851
320.46,25.28,8.0851
321.46,25.22,8.0851
322.46,25.48,8.0851
323.46,25.2,8.0851
324.46,25.25,8.0851
325.47,25.32,8.0851
326.47,25.19,8.0851
327.47,25.64,8.0851
328.47,25.32,8.0851
329.47,25.28,8.0851
330.47,25.17,8.0851
331.48,25.74,8.0851
332.48,25.47,8.0851
333.48,27.27,8.0852
334.48,25.75,8.0852
335.48,42.3,8.0852
336.48,39.89,8.0886
337.49,41.55,8.0957
338.49,25.45,8.0958
339.49,26.51,8.0958
340.49,32.87,8.0958
341.49,40.47,8.0958
342.49,25.38,8.0958
343.49,25.35,8.0958
344.5,25.3,8.0958
345.5,25.26,8.0958
346.5,25.19,8.0958
347.5,25.31,8.0958
348.5,25.21,8.0958
349.5,32.04,8.0958
350.51,43.97,8.0958
351.51,25.77,8.0958
352.51,25.37,8.0958
353.51,25.19,8.0958
354.51,26.06,8.0958
