Time_Sec,CPU_Percent_Total,Memory_GB
1.0,61.27,0.457
2.0,64.55,0.6543
3.0,74.8,0.9132
4.01,62.32,0.9988
5.01,81.02,1.0808
6.01,80.8,1.2185
7.01,85.97,1.3843
8.01,77.83,1.5076
9.01,71.73,1.6637
10.01,77.4,1.8604
11.02,63.55,1.9549
12.02,84.06,2.2241
13.02,91.76,2.4768
14.02,87.34,2.4744
15.02,79.28,2.6996
16.02,78.7,2.9852
17.02,77.32,3.4005
18.03,76.39,3.8683
19.03,76.06,4.3382
20.03,76.41,4.8461
21.03,75.63,5.3758
22.03,76.75,5.8647
23.03,53.15,1.8427
24.03,59.5,1.9467
25.04,82.78,2.2156
26.04,88.63,2.4605
27.04,82.13,2.5762
28.04,79.22,2.9359
29.04,77.31,3.3623
30.04,77.52,3.8513
31.04,76.21,4.2981
32.04,77.06,4.8024
33.05,75.64,5.361
34.05,75.65,5.8882
35.05,60.32,1.834
36.05,70.17,2.0749
37.05,90.49,2.476
38.05,95.12,2.5313
39.05,81.62,2.9369
40.06,78.19,3.3451
41.06,76.72,3.8029
42.06,76.02,4.2514
43.06,76.64,4.7414
44.06,76.21,5.2696
45.06,75.32,5.7638
46.07,62.89,3.2994
47.07,50.11,1.9132
48.07,89.78,2.2605
49.07,90.14,2.4685
50.07,81.58,2.7659
51.07,78.24,3.1594
52.07,77.37,3.5777
53.08,76.15,4.0374
54.08,76.64,4.4991
55.08,76.24,5.0315
56.08,75.97,5.5252
57.08,77.42,5.9831
58.08,40.78,1.8542
59.09,62.12,1.9891
60.09,92.43,2.2302
61.09,56.97,1.8869
62.09,88.78,2.1762
63.09,68.89,1.8592
64.09,77.8,2.1044
65.09,88.82,2.2727
66.1,82.4,2.4387
67.1,78.08,2.6974
68.1,77.27,2.9466
69.1,78.84,3.3524
70.1,62.48,1.8595
71.1,78.07,2.1081
72.1,92.17,2.2902
73.1,81.28,2.6089
74.11,78.23,2.9777
75.11,79.75,3.3346
76.11,62.85,1.8571
77.11,75.42,2.1252
78.11,89.53,2.4877
79.11,89.68,2.5416
80.11,80.71,2.8167
81.11,79.75,3.0937
82.12,78.33,3.3841
83.12,78.56,3.6841
84.12,38.97,1.871
85.12,74.23,2.0621
86.12,85.53,2.2899
87.12,90.66,2.4993
88.12,84.02,2.6679
89.13,79.08,2.9779
90.13,79.53,3.3649
91.13,83.4,3.6111
92.13,52.95,1.8498
93.13,57.57,1.944
94.13,89.11,2.163
95.13,89.23,2.222
96.13,57.67,1.878
97.14,83.05,2.0697
98.14,89.84,2.2269
99.14,76.02,1.8031
100.14,44.05,1.8904
101.14,82.32,2.0688
102.14,87.37,2.2689
103.14,84.27,2.5257
104.15,49.13,1.8715
105.15,72.88,2.0394
106.15,86.42,2.1814
107.15,87.51,2.4449
108.15,37.76,1.9207
109.15,71.98,2.0673
110.15,86.0,2.2091
111.16,69.76,1.9188
112.16,47.74,1.9924
113.16,85.83,2.1433
114.16,83.78,1.8504
115.16,43.41,2.0025
116.16,82.58,2.1629
117.16,87.43,2.2885
118.17,52.09,2.0121
119.17,62.63,2.105
120.17,86.74,2.3064
121.17,70.18,2.0286
122.17,50.47,2.1016
123.17,91.47,2.2814
124.17,81.52,1.9708
125.18,41.41,2.1039
126.18,85.2,2.2639
127.18,86.76,2.3812
128.18,45.17,2.1434
129.18,73.94,2.2917
130.18,89.59,2.4217
131.18,67.8,2.1409
132.18,48.53,2.213
133.19,87.75,2.3672
134.19,88.68,2.4791
135.19,46.89,2.1689
136.19,69.36,2.2949
137.19,90.55,2.4744
138.19,87.64,2.6013
139.2,41.75,2.1769
140.2,74.83,2.337
141.2,89.59,2.5416
142.2,86.56,2.6057
143.2,39.4,2.184
144.2,80.6,2.3587
145.2,84.42,2.5115
146.2,84.03,2.5991
147.21,80.64,2.7612
148.21,43.9,2.1328
149.21,47.45,2.2083
150.21,86.86,2.379
151.21,87.01,2.5137
152.21,82.08,2.7314
153.22,85.24,2.8886
154.22,47.36,2.1319
155.22,68.18,2.3073
156.22,89.22,2.5127
157.22,81.94,2.6128
158.22,59.44,2.134
159.22,47.23,2.2073
160.23,87.43,2.3792
161.23,87.35,2.5142
162.23,82.45,2.7251
163.23,62.9,2.1499
164.23,51.1,2.224
165.23,88.32,2.3917
166.23,88.3,2.54
167.24,82.24,2.7523
168.24,78.31,2.9441
169.24,47.79,2.173
170.24,68.96,2.3121
171.24,88.81,2.4899
172.24,82.05,2.622
173.24,74.92,2.8122
174.25,43.77,2.179
175.25,82.38,2.3639
176.25,89.13,2.4855
177.25,79.8,2.6422
178.25,54.06,2.2145
179.25,90.77,2.4764
180.25,84.22,2.5302
181.26,83.5,2.6656
182.26,38.13,2.1825
183.26,78.86,2.3446
184.26,93.42,2.4954
185.26,63.85,2.165
186.26,57.09,2.2479
187.26,89.98,2.4826
188.27,87.47,2.5022
189.27,54.55,2.2196
190.27,88.51,2.4509
191.27,86.87,2.2518
192.27,41.76,2.1939
193.27,86.82,2.3844
194.27,90.3,2.5148
195.28,58.24,2.1675
196.28,59.58,2.2639
197.28,85.11,2.4713
198.28,85.94,2.4905
199.28,53.1,2.1581
200.28,53.67,2.2292
201.28,86.17,2.3841
202.29,84.47,2.487
203.29,57.15,2.1372
204.29,47.01,2.2099
205.29,83.65,2.4588
206.29,86.54,2.6742
207.29,89.54,2.7298
208.29,79.41,2.8094
209.3,79.59,3.0433
210.3,77.83,3.3741
211.3,76.36,3.6867
212.3,78.88,2.5585
213.3,41.68,2.1986
214.3,82.53,2.4613
215.3,87.84,2.7309
216.31,86.72,2.7985
217.31,79.97,3.0423
218.31,80.62,3.2935
219.31,76.55,3.5344
220.31,76.52,3.7437
221.31,81.73,3.9054
222.31,54.8,2.1724
223.32,76.53,2.4558
224.32,90.96,2.7291
225.32,85.01,2.8905
226.32,79.75,3.2032
227.32,78.05,3.5039
228.32,76.33,3.7647
229.32,69.79,4.0672
230.32,47.98,2.2014
231.33,89.12,2.525
232.33,86.63,2.7348
233.33,78.27,2.7948
234.33,76.73,3.0239
235.33,76.39,3.2498
236.33,76.03,3.4702
237.33,78.22,3.7532
238.33,75.24,4.0489
239.34,49.9,2.193
240.34,84.71,2.5612
241.34,92.46,2.8365
242.34,84.54,2.8488
243.34,77.86,3.1251
244.34,77.46,3.4377
245.34,76.39,3.7408
246.35,76.94,4.2107
247.35,77.93,4.6613
248.35,77.95,5.1387
249.35,57.84,2.1618
250.35,55.93,2.2539
251.35,81.5,2.5371
252.35,90.6,2.7971
253.35,83.65,3.0275
254.36,78.75,3.3129
255.36,75.73,3.6224
256.36,77.14,3.9448
257.36,77.35,4.2682
258.36,79.35,4.7344
259.36,79.11,5.2009
260.37,60.95,2.1455
261.37,66.69,2.3158
262.37,87.67,2.5917
263.37,83.21,2.7561
264.37,53.61,2.1875
265.37,86.99,2.435
266.37,88.03,2.564
267.37,82.69,2.7744
268.38,56.02,2.1873
269.38,82.92,2.4205
270.38,87.58,2.58
271.38,58.64,2.2625
272.38,94.21,2.6068
273.38,85.36,2.6302
274.38,46.45,3.1586
275.39,36.98,2.1891
276.39,85.31,2.4327
277.39,87.5,2.5872
278.39,57.62,2.2333
279.39,87.52,2.5287
280.39,84.41,2.0693
281.39,61.46,2.3053
282.39,89.7,2.4936
283.4,45.61,2.1788
284.4,66.23,2.3403
285.4,91.42,2.5165
286.4,48.31,2.1864
287.4,72.19,2.3506
288.4,88.1,2.4966
289.4,62.36,2.1545
290.41,45.78,2.2264
291.41,86.25,2.3797
292.41,83.73,2.5026
293.41,39.96,2.1901
294.41,75.79,2.341
295.41,88.35,2.4772
296.41,64.56,2.1548
297.42,49.69,2.2281
298.42,89.15,2.3832
299.42,83.95,2.4938
300.42,42.01,2.1899
301.42,72.38,2.3437
302.42,88.98,2.5087
303.42,82.39,2.5437
304.42,40.68,2.1994
305.43,80.33,2.3455
306.43,89.11,2.493
307.43,69.07,2.1419
308.43,43.95,2.2109
309.43,84.62,2.3658
310.43,81.22,2.4951
311.44,42.0,2.1947
312.44,78.72,2.3451
313.44,85.96,2.4811
314.44,42.71,2.1897
315.44,70.12,2.3122
316.44,80.95,2.5898
317.44,79.04,2.9353
318.44,66.82,3.5062
319.45,72.4,4.0952
320.45,81.06,4.4581
321.45,93.94,4.6905
322.45,85.5,4.6941
323.45,79.32,4.6976
324.45,77.35,4.7021
325.45,77.06,4.8004
326.46,76.2,5.075
327.46,75.54,5.3075
328.46,77.07,5.5615
329.46,71.17,5.8659
330.46,36.88,6.0373
331.46,27.59,6.2067
332.46,46.11,6.3564
333.47,36.79,6.5365
334.47,36.02,6.7669
335.47,35.18,6.908
336.47,30.29,7.0284
337.47,41.14,7.1885
338.47,31.47,7.3045
339.47,27.52,7.3552
340.48,26.98,7.4943
341.48,28.0,7.6345
342.48,39.77,7.8878
343.48,26.81,7.9651
344.48,37.59,8.1558
345.48,32.48,8.1861
346.48,27.23,8.2561
347.49,27.12,8.2561
348.49,25.61,8.2561
349.49,46.29,8.2586
350.49,44.72,8.2586
351.49,39.42,8.258
352.49,26.7,8.258
353.49,26.75,8.258
354.5,26.93,8.258
355.5,27.77,8.258
356.5,29.01,8.258
357.5,25.65,8.258
358.5,31.2,8.258
359.5,26.29,8.258
360.51,25.12,8.258
361.51,25.22,8.2581
362.51,25.78,8.2581
363.51,27.49,8.2582
364.51,26.24,8.2581
365.51,25.56,8.2581
366.51,25.27,8.2581
367.52,25.83,8.2581
368.52,28.5,8.3583
369.52,25.83,8.3583
370.52,25.32,8.3583
371.52,25.4,8.3584
