Time_Sec,CPU_Percent_Total,Memory_GB
1.0,59.92,0.4229
2.0,65.7,0.6042
3.01,72.81,0.8816
4.02,69.13,1.0122
5.02,83.23,1.1241
6.02,86.53,1.2432
7.02,82.24,1.4139
8.02,67.6,1.574
9.02,89.73,1.7593
10.02,49.9,1.8545
11.03,84.66,2.136
12.03,90.15,2.3795
13.03,92.51,2.3839
14.03,83.49,2.6023
15.03,81.52,2.8731
16.03,78.7,3.2459
17.03,77.56,3.6094
18.04,75.73,4.0482
19.04,76.87,4.5213
20.04,76.21,5.0667
21.04,75.28,5.577
22.04,81.02,5.9462
23.04,73.55,6.1037
24.05,28.07,6.4306
25.05,27.54,6.7586
26.05,34.06,7.0928
27.05,28.62,7.1669
28.05,25.28,7.1669
29.05,25.27,7.1669
30.06,25.34,7.1669
31.06,45.38,6.2802
32.06,44.85,1.8297
33.06,85.29,2.0651
34.06,85.59,2.3658
35.06,92.54,2.3803
36.06,82.05,2.5714
37.07,78.49,2.992
38.07,77.0,3.4269
39.07,76.74,3.9251
40.07,77.34,4.4152
41.07,76.29,4.9657
42.07,75.65,5.4856
43.07,79.81,5.8776
44.08,68.04,6.1164
45.08,29.5,6.4346
46.08,27.79,6.7541
47.08,35.17,7.195
48.08,27.88,7.2953
49.08,25.41,7.2953
50.08,25.34,7.2953
51.09,25.46,7.2953
52.09,42.58,7.2896
53.09,37.12,1.7967
54.09,63.42,1.9054
55.09,84.16,2.1712
56.09,92.91,2.3825
57.09,86.32,2.7269
58.1,78.95,3.1328
59.1,77.19,3.5476
60.1,76.01,4.031
61.1,76.38,4.5048
62.1,75.45,5.0471
63.1,75.97,5.5591
64.11,78.5,5.9733
65.11,78.29,6.1846
66.11,42.4,6.5481
67.11,40.97,6.9135
68.11,34.53,7.2582
69.11,28.64,7.2582
70.12,25.34,7.2582
71.12,25.23,7.2582
72.12,25.3,7.2582
73.12,39.89,7.2582
74.12,35.46,1.7895
75.12,57.4,1.8796
76.12,84.96,2.1766
77.13,93.7,2.3887
78.13,84.15,2.509
79.13,78.22,2.7808
80.13,77.27,3.1206
81.13,78.43,3.5634
82.13,76.0,4.0634
83.13,75.79,4.5373
84.13,75.8,5.0975
85.14,76.93,5.6301
86.14,80.86,5.9057
87.14,43.9,6.2218
88.14,26.34,6.5938
89.14,26.37,6.9555
90.14,37.31,7.2738
91.14,25.45,7.2739
92.15,26.01,7.2739
93.15,25.33,7.2739
94.15,25.19,7.2739
95.15,43.84,3.0745
96.15,49.23,1.8543
97.15,86.96,2.1144
98.15,89.84,2.1424
99.16,36.62,2.6669
100.16,26.27,3.2204
101.16,40.54,1.804
102.16,70.52,1.9449
103.16,89.1,2.1233
104.16,87.66,2.2319
105.16,31.73,2.7427
106.17,26.75,3.2598
107.17,39.54,1.7993
108.17,77.18,2.0311
109.17,89.53,2.1929
110.17,84.63,2.4413
111.17,79.1,2.6955
112.17,79.15,2.9322
113.17,77.39,3.3221
114.18,81.14,3.5482
115.18,49.28,1.8396
116.18,87.96,2.2118
117.18,88.61,2.3225
118.18,81.71,2.7026
119.18,78.54,3.0876
120.18,80.64,3.352
121.19,67.25,1.7502
122.19,45.49,1.8357
123.19,83.94,2.1145
124.19,85.15,2.4168
125.19,89.39,2.4229
126.19,79.74,2.6829
127.19,77.75,3.0247
128.2,77.79,3.3949
129.2,79.91,3.6461
130.2,62.46,4.0896
131.2,36.06,4.5337
132.2,25.62,4.9615
133.2,49.18,5.3082
134.21,57.35,1.7925
135.21,73.02,1.9869
136.21,82.73,2.3235
137.21,95.34,2.4392
138.21,84.61,2.7675
139.21,79.85,3.1138
140.21,79.36,3.3952
141.21,77.74,3.5866
142.22,45.91,3.9728
143.22,32.36,4.3895
144.22,26.55,4.8065
145.22,61.25,5.123
146.22,51.77,1.7989
