Time_Sec,CPU_Percent_Total,Memory_GB
1.0,58.13,0.214
2.0,64.48,0.4309
3.0,62.56,0.611
4.0,74.52,0.7937
5.01,70.54,0.9065
6.01,84.12,0.9822
7.01,85.86,1.1241
8.01,81.53,1.2702
9.02,72.42,1.3344
10.02,81.8,1.4942
11.02,77.39,1.676
12.02,62.95,1.7565
13.02,83.96,2.0249
14.02,91.44,2.2471
15.02,88.11,2.2576
16.02,79.76,2.3376
17.03,79.24,2.7233
18.03,79.42,3.1358
19.03,77.98,3.5831
20.03,76.53,3.9751
21.03,76.42,4.4053
22.03,76.42,4.8562
23.04,76.69,5.3299
24.04,79.02,5.709
25.04,78.02,6.0714
26.04,46.84,1.6412
27.04,54.23,1.7259
28.04,87.34,2.1429
29.04,91.12,2.2595
30.04,82.23,2.5181
31.05,80.91,2.9827
32.05,78.89,3.4005
33.05,78.24,3.8455
34.05,75.99,4.2756
35.05,74.93,4.7325
36.05,77.88,5.238
37.05,79.7,5.6453
38.05,77.76,6.0134
39.06,59.79,1.5867
40.06,46.86,1.7034
41.06,83.14,2.0093
42.06,91.09,2.2526
43.06,88.42,2.2595
44.06,82.21,2.4667
45.06,82.39,2.8116
46.06,82.63,3.0956
47.07,77.77,3.403
48.07,78.18,3.8511
49.07,76.61,4.2841
50.07,75.79,4.7411
51.07,75.87,5.2652
52.07,81.87,5.6736
53.08,76.95,6.0394
54.08,46.21,1.6584
55.08,67.84,1.8172
56.08,83.61,2.1437
57.08,94.09,2.2491
58.08,83.23,2.2871
59.08,76.89,2.5321
60.08,77.95,2.8369
61.09,77.28,3.1056
62.09,75.79,3.3174
63.09,76.03,3.5701
64.09,76.74,3.9694
65.09,75.85,4.3913
66.09,76.94,4.8306
67.09,76.94,5.3439
68.1,79.71,5.7561
69.1,77.57,6.1304
70.1,51.83,1.6652
71.1,74.52,1.8702
72.1,86.67,1.9248
73.1,58.84,1.7745
74.1,90.63,2.008
75.11,56.97,1.7052
76.11,84.92,2.0617
77.11,73.52,1.6617
78.11,72.9,1.9087
79.11,91.26,2.1155
80.11,55.06,1.7212
81.11,87.92,2.118
82.11,90.83,2.2902
83.12,86.76,2.3894
84.12,51.49,1.6793
85.12,70.86,1.8306
86.12,83.52,2.1372
87.12,89.47,2.2943
88.12,78.81,2.3764
89.12,85.6,2.5338
90.12,54.39,1.7369
91.13,84.05,1.9729
92.13,87.91,2.0957
93.13,55.3,1.6755
94.13,68.51,1.795
95.13,85.84,1.9849
96.13,90.58,2.0822
97.13,67.16,1.6536
98.14,49.53,1.7262
99.14,85.46,1.9267
100.14,88.97,2.0985
101.14,85.25,2.288
102.14,65.34,1.6377
103.14,46.78,1.7074
104.14,83.63,1.8888
105.15,88.17,1.9869
106.15,85.21,2.1877
107.15,70.0,1.6892
108.15,46.07,1.7597
109.15,81.31,1.9678
110.15,82.6,1.6937
111.15,43.3,1.7888
112.16,85.72,2.0015
113.16,83.05,1.742
114.16,45.34,1.8252
115.16,85.69,2.0457
116.16,93.43,2.1118
117.16,55.96,1.8833
118.16,90.54,2.0993
119.16,65.48,1.8541
120.17,57.81,1.9406
121.17,87.47,2.1364
122.17,61.08,1.9052
123.17,81.78,2.0749
124.17,77.39,1.9064
125.17,68.32,2.0897
126.17,89.03,2.2395
127.18,56.32,2.0239
128.18,90.7,2.2939
129.18,72.75,1.9722
130.18,74.69,2.1785
131.18,91.76,2.3496
132.18,76.74,1.9459
133.18,46.83,2.0222
134.18,88.54,2.3375
135.19,89.2,2.3591
136.19,42.42,1.9929
137.19,79.86,2.1658
138.19,86.65,2.3194
139.19,86.79,2.3647
140.19,85.6,2.5299
141.19,71.08,2.6488
142.2,38.34,1.9943
143.2,79.81,2.1768
144.2,88.36,2.3361
145.2,88.55,2.4488
146.2,80.45,2.5929
147.2,60.29,2.6283
148.2,38.24,1.9943
149.21,81.99,2.1676
150.21,87.01,2.3167
151.21,86.0,2.4408
152.21,71.78,1.9257
153.21,62.42,2.075
154.21,87.65,2.3172
155.21,86.38,2.3702
156.22,72.97,1.9227
157.22,44.21,2.01
158.22,87.3,2.1869
159.22,86.79,2.3042
160.22,84.83,2.4964
161.22,84.81,2.6311
162.22,49.02,1.9501
163.22,46.89,2.0245
164.23,89.96,2.2107
165.23,90.75,2.3083
166.23,82.53,2.462
167.23,59.67,1.9432
168.23,47.22,2.0229
169.23,86.85,2.2829
170.23,89.12,2.3058
171.24,85.56,2.4801
172.24,55.19,2.0432
173.24,81.61,2.2698
174.24,86.95,2.42
175.24,78.47,2.3099
176.24,57.54,2.0577
177.24,87.46,2.3226
178.24,84.05,2.3956
179.25,40.98,1.9925
180.25,77.64,2.1373
181.25,89.03,2.2743
182.25,87.47,2.3048
183.25,41.42,1.9956
184.25,80.44,2.1519
185.26,88.95,2.2822
186.26,89.31,2.3214
187.26,43.61,1.9903
188.26,74.03,2.1431
189.26,89.4,2.2832
190.26,87.38,2.3041
191.26,49.15,1.9874
192.27,73.36,2.1342
193.27,86.06,2.2602
194.27,85.72,2.3069
195.27,46.18,1.9785
