Time_Sec,CPU_Percent_Total,Memory_GB
1.0,56.24,0.3079
2.0,63.54,0.5276
3.0,66.35,0.7277
4.01,72.43,0.8771
5.01,71.51,0.9961
6.01,85.46,1.0924
7.01,85.72,1.1999
8.01,79.27,1.3349
9.01,75.61,1.3862
10.02,75.81,1.5608
11.02,80.26,1.7468
12.02,85.7,2.0335
13.02,79.86,2.1198
14.02,87.99,2.3356
15.02,80.19,2.5733
16.02,78.54,2.8114
17.02,77.11,3.1325
18.02,77.37,3.575
19.03,76.09,4.0754
20.03,75.97,4.5612
21.03,75.79,5.1327
22.03,75.59,5.6739
23.03,81.78,5.9132
24.03,71.5,6.2015
25.04,28.13,6.5313
26.04,39.51,6.8787
27.04,29.03,6.9789
28.04,26.56,6.9789
29.04,25.33,6.9789
30.04,25.22,6.979
31.04,38.28,6.2414
32.05,42.39,1.7295
33.05,86.42,2.0372
34.05,91.09,2.2292
35.05,84.3,2.5964
36.05,79.75,2.9793
37.05,77.99,3.367
38.05,76.26,3.8265
39.06,76.55,4.2753
40.06,76.61,4.7651
41.06,76.13,5.3051
42.06,75.87,5.8164
43.06,82.88,5.9964
44.06,53.35,6.34
45.07,27.95,6.6986
46.07,38.95,7.0443
47.07,28.18,7.0378
48.07,25.79,7.0378
49.07,25.61,7.0378
50.07,25.6,7.0378
51.08,28.47,7.0378
52.08,45.34,1.7023
53.08,81.08,1.8906
54.08,89.11,2.0164
55.08,68.97,1.7993
56.08,77.4,1.9695
57.08,88.26,2.162
58.08,84.67,2.4104
59.08,80.43,2.6818
60.09,78.36,3.0623
61.09,79.76,3.3898
62.09,60.0,1.7542
63.09,82.8,2.0875
64.09,87.43,2.2172
65.09,85.77,2.4841
66.09,79.27,2.774
67.09,79.91,3.1541
68.1,76.35,3.3923
69.1,80.4,3.5431
70.1,51.6,3.8262
71.1,29.95,4.1205
72.1,34.8,4.404
73.1,25.7,4.8335
74.1,41.98,5.1972
75.11,62.43,1.859
76.11,86.41,2.0842
77.11,83.96,2.4562
78.11,75.82,2.9475
79.11,58.84,1.739
80.11,77.39,1.9021
81.11,87.0,2.1937
82.12,82.55,2.4338
83.12,69.58,1.6207
84.12,70.43,1.8728
85.12,83.93,2.007
86.12,72.7,1.7808
87.12,83.84,1.9836
88.12,81.97,1.8132
89.12,83.23,2.0143
90.13,86.19,1.9689
91.13,66.55,1.9813
92.13,79.64,2.1161
93.13,67.77,1.8823
94.13,84.49,2.0849
95.13,87.67,2.2726
96.13,63.59,1.9041
97.14,87.71,2.097
98.14,88.23,2.2768
99.14,83.81,2.4888
100.14,65.25,2.7215
101.14,59.29,1.8896
102.14,84.53,2.0797
103.14,89.71,2.2485
104.14,82.05,2.4599
105.15,76.21,2.6901
106.15,63.64,1.9247
107.15,77.11,2.0833
108.15,88.98,2.3046
109.15,83.89,2.4972
110.15,75.3,2.67
111.15,71.57,1.9565
112.16,80.42,2.0895
113.16,90.54,2.3963
114.16,67.62,2.2301
115.16,66.79,2.0007
116.16,83.43,2.1571
117.16,73.08,1.8754
118.16,80.52,2.0579
119.16,87.99,2.2527
120.17,75.16,1.9488
121.17,90.9,2.175
122.17,66.37,1.8993
123.17,84.63,2.1965
124.17,89.85,2.3419
125.17,82.21,2.5831
126.17,78.67,2.7973
127.18,79.51,3.0572
128.18,76.85,3.3784
129.18,81.45,3.6152
130.18,75.9,3.9464
131.18,32.22,4.3635
132.18,25.77,4.7928
133.18,31.65,5.2274
134.19,50.85,5.6618
135.19,64.9,5.9548
136.19,51.64,1.9769
137.19,89.19,2.2741
138.19,88.95,2.6127
139.19,80.32,2.9259
140.19,77.05,3.2607
141.2,77.31,3.5604
142.2,81.77,3.7876
143.2,52.8,4.2079
144.2,39.47,4.6541
145.2,34.46,5.1003
146.2,25.43,5.5407
147.21,52.06,5.9851
148.21,68.75,6.5012
149.21,69.21,6.7347
150.21,68.96,6.9326
151.21,37.28,1.882
152.21,83.81,2.1603
153.21,81.16,2.3127
154.22,87.89,2.595
155.22,80.55,2.9989
156.22,77.18,3.4278
157.22,76.38,3.8878
158.22,77.93,4.361
159.22,76.52,4.7919
160.22,81.69,5.0139
161.22,68.86,5.3398
162.23,33.92,5.6805
163.23,36.05,5.9907
164.23,25.37,6.4016
165.23,35.37,6.7355
166.23,52.88,7.1889
167.23,57.26,1.9478
168.23,88.6,2.191
169.23,88.19,2.5275
170.24,69.26,1.8592
171.24,79.61,2.109
172.24,81.37,1.861
173.24,77.99,2.1034
174.24,84.83,1.8157
175.24,69.63,2.038
176.24,87.52,2.19
177.24,67.03,2.0074
178.25,76.34,2.1249
179.25,73.32,1.9067
180.25,87.86,2.1066
181.25,66.9,1.9049
182.25,75.15,2.0647
183.25,89.49,2.2337
184.25,73.13,2.0241
185.25,81.07,1.7968
186.26,67.5,2.0603
187.26,79.95,2.4035
188.26,76.95,2.7823
189.26,66.46,3.149
190.26,59.9,3.4442
191.26,88.32,3.6539
192.26,82.07,3.9074
193.26,79.25,4.1896
194.27,76.71,4.4671
195.27,75.94,4.8056
196.27,77.59,5.1426
197.27,76.12,5.4111
198.27,75.46,5.6172
199.27,75.92,5.8969
200.27,76.37,6.1612
201.28,55.83,6.3318
202.28,35.38,6.4958
203.28,39.72,6.6452
204.28,40.96,6.9175
205.28,47.58,7.3455
206.28,30.72,7.3475
207.29,29.06,7.3475
208.29,25.86,7.3475
209.29,31.83,7.3475
210.29,34.65,7.3476
211.29,30.86,7.3476
212.29,28.61,7.3476
213.29,32.52,7.3476
214.3,29.8,7.3476
215.3,25.75,7.3709
216.3,28.82,7.444
217.3,25.94,7.4478
218.3,28.4,7.4478
219.3,29.23,7.4478
220.31,39.04,7.4478
221.31,32.97,7.4478
222.31,34.58,7.4478
223.31,43.36,7.4478
224.31,44.06,7.4478
225.31,25.42,7.4478
226.31,25.84,7.4478
227.32,26.16,7.4478
228.32,25.32,7.4478
229.32,25.54,7.4478
230.32,25.45,7.4478
231.32,29.34,7.4478
232.32,25.34,7.4478
233.33,25.45,7.4478
234.33,28.12,7.4478
235.33,26.37,7.4478
236.33,25.93,7.4478
237.33,26.22,7.4478
238.33,25.31,7.4478
239.34,25.3,7.4478
240.34,26.12,7.4477
241.34,28.43,7.4477
242.34,25.72,7.4477
243.34,25.58,7.4477
244.34,25.24,7.4477
245.35,25.35,7.4477
246.35,25.23,7.4477
247.35,25.41,7.4477
248.35,25.4,7.4477
249.35,25.26,7.4477
250.35,25.33,7.4477
251.36,25.16,7.4477
252.36,25.39,7.4479
253.36,25.22,7.4478
254.36,25.34,7.4479
255.36,26.68,7.4479
256.36,27.52,7.4479
257.36,26.07,7.4479
258.37,58.36,8.053
259.37,25.34,8.0614
260.37,25.88,8.1147
261.37,25.65,8.1512
262.37,25.68,8.1513
263.37,25.91,8.1512
264.38,25.25,8.1512
265.38,39.13,8.1512
266.38,27.16,8.1513
267.38,25.36,8.1513
268.38,25.29,8.1513
269.38,25.44,8.1513
270.38,25.56,8.1512
271.39,25.38,8.1513
272.39,25.32,8.1513
273.39,25.45,8.1513
274.39,25.85,8.1512
275.39,25.23,8.1512
276.39,28.3,8.1513
277.4,25.22,8.1513
278.4,36.72,8.1515
279.4,25.25,8.1515
280.4,25.32,8.1515
281.4,27.02,8.1515
282.4,32.39,8.1515
283.4,59.48,8.1515
284.4,31.49,8.1515
285.41,25.73,8.1515
286.41,25.25,8.1515
287.41,25.34,8.1515
288.41,25.22,8.1515
289.41,25.22,8.1515
290.41,25.35,8.1514
291.41,31.58,8.1514
292.42,43.09,8.1515
293.42,25.36,8.1515
294.42,26.73,8.1514
295.42,25.3,8.1514
296.42,26.23,8.1514
297.42,25.21,8.1514
298.43,26.11,8.1514
299.43,25.31,8.1515
300.43,25.33,8.1514
301.43,25.23,8.1514
302.43,25.35,8.1514
303.43,25.22,8.1514
304.44,25.21,8.1514
305.44,25.32,8.1515
306.44,25.23,8.1515
307.44,25.46,8.1515
308.44,25.44,8.1515
309.44,25.32,8.1515
310.45,25.22,8.1515
311.45,25.23,8.1515
312.45,25.53,8.1515
313.45,25.33,8.1515
314.45,25.33,8.1515
315.45,25.21,8.1515
316.46,25.23,8.1515
317.46,25.35,8.1515
318.46,25.22,8.1515
319.46,25.84,8.1515
320.46,25.36,8.1515
321.46,25.2,8.1515
322.46,25.43,8.1515
323.47,25.23,8.1515
324.47,25.23,8.1515
325.47,25.35,8.1515
326.47,25.26,8.1515
327.47,26.42,8.1515
328.47,25.23,8.1515
329.48,25.37,8.1515
330.48,25.32,8.1515
331.48,25.29,8.1515
332.48,25.35,8.1515
333.48,25.18,8.1515
334.48,25.31,8.1515
335.49,25.22,8.1515
336.49,25.36,8.1515
337.49,25.91,8.1516
338.49,25.27,8.1516
339.49,29.69,8.1516
340.49,25.22,8.1516
341.5,29.94,8.1516
342.5,25.76,8.1516
343.5,25.23,8.1516
344.5,25.22,8.1516
345.5,25.33,8.1516
346.5,25.25,8.1516
347.5,25.32,8.1516
348.51,25.21,8.1516
349.51,25.28,8.1516
350.51,25.32,8.1516
351.51,25.26,8.1516
352.51,25.35,8.1516
353.51,25.19,8.1516
354.52,25.62,8.1516
355.52,25.2,8.1516
356.52,25.42,8.1516
357.52,27.53,8.1516
358.52,37.71,8.1516
359.52,25.26,8.1516
360.53,25.37,8.1516
361.53,25.25,8.1516
362.53,25.41,8.1516
363.53,25.22,8.1516
364.53,66.71,8.34
365.53,25.31,8.34
366.54,25.49,8.34
367.54,25.31,8.34
368.54,25.21,8.3401
369.54,25.21,8.3401
370.54,25.88,8.3401
371.54,25.33,8.3401
372.54,25.36,8.3401
373.55,25.22,8.3401
374.55,25.31,8.3401
375.55,25.26,8.3401
376.55,25.27,8.3401
377.55,25.26,8.3401
378.55,25.22,8.3401
379.56,25.32,8.3401
380.56,25.22,8.3402
381.56,25.26,8.3402
382.56,25.51,8.3402
383.56,25.22,8.3402
384.56,25.32,8.3402
385.57,25.22,8.3402
386.57,25.3,8.3402
387.57,25.46,8.3402
388.57,25.19,8.3402
389.57,25.3,8.3402
390.57,25.2,8.3402
391.58,25.22,8.3402
392.58,25.35,8.3402
393.58,25.2,8.3402
394.58,25.31,8.3402
395.58,26.09,8.3402
396.58,25.47,8.3402
397.59,25.38,8.3402
398.59,25.38,8.3402
399.59,25.31,8.3402
400.59,26.13,8.3402
401.59,29.65,8.3402
402.59,25.25,8.3402
403.6,27.28,8.3439
404.6,25.3,8.3439
405.6,25.2,8.3437
406.6,25.66,8.3433
407.6,25.2,8.3433
408.6,25.2,8.3433
409.61,25.3,8.3433
410.61,25.15,8.3433
411.61,25.29,8.3433
412.61,25.19,8.3433
413.61,25.18,8.3433
414.61,25.32,8.3433
415.61,25.26,8.3433
416.62,25.17,8.3433
417.62,25.31,8.3433
418.62,25.97,8.3433
419.62,26.75,8.3433
420.62,25.19,8.3433
421.62,25.29,8.3433
422.62,25.34,8.3433
423.63,25.16,8.3433
424.63,25.15,8.3433
425.63,25.26,8.3433
426.63,25.16,8.3433
427.63,25.14,8.3433
428.63,25.29,8.3432
429.63,25.13,8.3432
430.64,25.12,8.3432
431.64,25.23,8.3432
432.64,25.22,8.3432
433.64,25.2,8.3433
434.64,25.27,8.3433
435.64,25.2,8.3433
436.64,25.26,8.3433
437.65,25.24,8.3433
438.65,25.14,8.3433
439.65,25.26,8.3433
440.65,30.2,8.3433
441.65,25.3,8.3433
442.65,25.24,8.3433
443.66,25.27,8.3433
444.66,26.15,8.3433
445.66,25.14,8.3433
446.66,29.18,8.3433
447.66,40.9,8.3433
448.66,35.78,8.3433
449.67,25.16,8.3433
450.67,25.3,8.3433
451.67,25.21,8.3433
452.67,26.49,8.3434
453.67,25.32,8.3434
454.67,25.2,8.3433
455.68,25.21,8.3433
456.68,25.36,8.3433
457.68,25.22,8.3433
458.68,25.24,8.3433
459.68,25.32,8.3433
460.68,25.22,8.3433
461.68,25.33,8.3433
462.69,25.27,8.3434
463.69,25.32,8.3433
464.69,25.21,8.3433
465.69,25.23,8.3433
466.69,25.38,8.3433
467.69,25.21,8.3433
468.7,25.31,8.3433
469.7,25.21,8.3433
470.7,25.21,8.3433
471.7,25.32,8.3433
472.7,25.24,8.3434
473.7,25.27,8.3434
