Conflict;Kind;MatchedTraversedLine;CSV_ClassName;CSV_MethodName;CSV_SourceCodeLineNumber
{'Kind': 'source', 'ClassName': 'retrofit.RestAdapter', 'MethodName': 'logAndReplaceResponse', 'SourceCodeLineNumber': 415, 'UnitStatement': '$stack58 = this.<retrofit.RestAdapter: retrofit.RestAdapter$Log log>', 'TraversedLines': ['at retrofit.RestAdapter.logAndReplaceResponse(RestAdapter.java:415)', 'at retrofit.RestAdapter.logAndReplaceResponse(RestAdapter.java:425)']};source;at retrofit.RestAdapter.logAndReplaceResponse(RestAdapter.java:415);retrofit.RestAdapter;private retrofit.client.Response logAndReplaceResponse(java.lang.String, retrofit.client.Response, long) throws java.io.IOException;415
{'Kind': 'source', 'ClassName': 'retrofit.RestAdapter', 'MethodName': 'logAndReplaceResponse', 'SourceCodeLineNumber': 415, 'UnitStatement': '$stack58 = this.<retrofit.RestAdapter: retrofit.RestAdapter$Log log>', 'TraversedLines': ['at retrofit.RestAdapter.logAndReplaceResponse(RestAdapter.java:415)', 'at retrofit.RestAdapter.logAndReplaceResponse(RestAdapter.java:425)']};source;at retrofit.RestAdapter.logAndReplaceResponse(RestAdapter.java:425);retrofit.RestAdapter;private retrofit.client.Response logAndReplaceResponse(java.lang.String, retrofit.client.Response, long) throws java.io.IOException;425
{'Kind': 'sink', 'ClassName': 'retrofit.RestAdapter', 'MethodName': 'logAndReplaceResponse', 'SourceCodeLineNumber': 438, 'UnitStatement': '$stack42 = new java.lang.String', 'TraversedLines': ['at retrofit.RestAdapter.logAndReplaceResponse(RestAdapter.java:438)', 'at retrofit.RestAdapter.logAndReplaceResponse(RestAdapter.java:413)', 'at retrofit.RestAdapter.logAndReplaceResponse(RestAdapter.java:423)', 'at retrofit.RestAdapter.logAndReplaceResponse(RestAdapter.java:425)']};sink;at retrofit.RestAdapter.logAndReplaceResponse(RestAdapter.java:438);retrofit.RestAdapter;private retrofit.client.Response logAndReplaceResponse(java.lang.String, retrofit.client.Response, long) throws java.io.IOException;438
{'Kind': 'sink', 'ClassName': 'retrofit.RestAdapter', 'MethodName': 'logAndReplaceResponse', 'SourceCodeLineNumber': 438, 'UnitStatement': '$stack42 = new java.lang.String', 'TraversedLines': ['at retrofit.RestAdapter.logAndReplaceResponse(RestAdapter.java:438)', 'at retrofit.RestAdapter.logAndReplaceResponse(RestAdapter.java:413)', 'at retrofit.RestAdapter.logAndReplaceResponse(RestAdapter.java:423)', 'at retrofit.RestAdapter.logAndReplaceResponse(RestAdapter.java:425)']};sink;at retrofit.RestAdapter.logAndReplaceResponse(RestAdapter.java:413);retrofit.RestAdapter;private retrofit.client.Response logAndReplaceResponse(java.lang.String, retrofit.client.Response, long) throws java.io.IOException;413
{'Kind': 'sink', 'ClassName': 'retrofit.RestAdapter', 'MethodName': 'logAndReplaceResponse', 'SourceCodeLineNumber': 438, 'UnitStatement': '$stack42 = new java.lang.String', 'TraversedLines': ['at retrofit.RestAdapter.logAndReplaceResponse(RestAdapter.java:438)', 'at retrofit.RestAdapter.logAndReplaceResponse(RestAdapter.java:413)', 'at retrofit.RestAdapter.logAndReplaceResponse(RestAdapter.java:423)', 'at retrofit.RestAdapter.logAndReplaceResponse(RestAdapter.java:425)']};sink;at retrofit.RestAdapter.logAndReplaceResponse(RestAdapter.java:423);retrofit.RestAdapter;private retrofit.client.Response logAndReplaceResponse(java.lang.String, retrofit.client.Response, long) throws java.io.IOException;423
{'Kind': 'sink', 'ClassName': 'retrofit.RestAdapter', 'MethodName': 'logAndReplaceResponse', 'SourceCodeLineNumber': 438, 'UnitStatement': '$stack42 = new java.lang.String', 'TraversedLines': ['at retrofit.RestAdapter.logAndReplaceResponse(RestAdapter.java:438)', 'at retrofit.RestAdapter.logAndReplaceResponse(RestAdapter.java:413)', 'at retrofit.RestAdapter.logAndReplaceResponse(RestAdapter.java:423)', 'at retrofit.RestAdapter.logAndReplaceResponse(RestAdapter.java:425)']};sink;at retrofit.RestAdapter.logAndReplaceResponse(RestAdapter.java:425);retrofit.RestAdapter;private retrofit.client.Response logAndReplaceResponse(java.lang.String, retrofit.client.Response, long) throws java.io.IOException;425
{'Kind': 'source', 'ClassName': 'retrofit.RestAdapter', 'MethodName': 'logAndReplaceResponse', 'SourceCodeLineNumber': 415, 'UnitStatement': '$stack58 = this.<retrofit.RestAdapter: retrofit.RestAdapter$Log log>', 'TraversedLines': ['at retrofit.RestAdapter.logAndReplaceResponse(RestAdapter.java:415)', 'at retrofit.RestAdapter.logAndReplaceResponse(RestAdapter.java:425)', 'at retrofit.RestAdapter.logAndReplaceResponse(RestAdapter.java:438)', 'at retrofit.RestAdapter.logAndReplaceResponse(RestAdapter.java:442)', 'at retrofit.RestAdapter.logAndReplaceResponse(RestAdapter.java:442)']};source;at retrofit.RestAdapter.logAndReplaceResponse(RestAdapter.java:415);retrofit.RestAdapter;private retrofit.client.Response logAndReplaceResponse(java.lang.String, retrofit.client.Response, long) throws java.io.IOException;415
{'Kind': 'source', 'ClassName': 'retrofit.RestAdapter', 'MethodName': 'logAndReplaceResponse', 'SourceCodeLineNumber': 415, 'UnitStatement': '$stack58 = this.<retrofit.RestAdapter: retrofit.RestAdapter$Log log>', 'TraversedLines': ['at retrofit.RestAdapter.logAndReplaceResponse(RestAdapter.java:415)', 'at retrofit.RestAdapter.logAndReplaceResponse(RestAdapter.java:425)', 'at retrofit.RestAdapter.logAndReplaceResponse(RestAdapter.java:438)', 'at retrofit.RestAdapter.logAndReplaceResponse(RestAdapter.java:442)', 'at retrofit.RestAdapter.logAndReplaceResponse(RestAdapter.java:442)']};source;at retrofit.RestAdapter.logAndReplaceResponse(RestAdapter.java:425);retrofit.RestAdapter;private retrofit.client.Response logAndReplaceResponse(java.lang.String, retrofit.client.Response, long) throws java.io.IOException;425
{'Kind': 'source', 'ClassName': 'retrofit.RestAdapter', 'MethodName': 'logAndReplaceResponse', 'SourceCodeLineNumber': 415, 'UnitStatement': '$stack58 = this.<retrofit.RestAdapter: retrofit.RestAdapter$Log log>', 'TraversedLines': ['at retrofit.RestAdapter.logAndReplaceResponse(RestAdapter.java:415)', 'at retrofit.RestAdapter.logAndReplaceResponse(RestAdapter.java:425)', 'at retrofit.RestAdapter.logAndReplaceResponse(RestAdapter.java:438)', 'at retrofit.RestAdapter.logAndReplaceResponse(RestAdapter.java:442)', 'at retrofit.RestAdapter.logAndReplaceResponse(RestAdapter.java:442)']};source;at retrofit.RestAdapter.logAndReplaceResponse(RestAdapter.java:438);retrofit.RestAdapter;private retrofit.client.Response logAndReplaceResponse(java.lang.String, retrofit.client.Response, long) throws java.io.IOException;438
{'Kind': 'source', 'ClassName': 'retrofit.RestAdapter', 'MethodName': 'logAndReplaceResponse', 'SourceCodeLineNumber': 415, 'UnitStatement': '$stack58 = this.<retrofit.RestAdapter: retrofit.RestAdapter$Log log>', 'TraversedLines': ['at retrofit.RestAdapter.logAndReplaceResponse(RestAdapter.java:415)', 'at retrofit.RestAdapter.logAndReplaceResponse(RestAdapter.java:425)', 'at retrofit.RestAdapter.logAndReplaceResponse(RestAdapter.java:438)', 'at retrofit.RestAdapter.logAndReplaceResponse(RestAdapter.java:442)', 'at retrofit.RestAdapter.logAndReplaceResponse(RestAdapter.java:442)']};source;at retrofit.RestAdapter.logAndReplaceResponse(RestAdapter.java:442);retrofit.RestAdapter;private retrofit.client.Response logAndReplaceResponse(java.lang.String, retrofit.client.Response, long) throws java.io.IOException;442
