project;class;method;merge commit;left modifications;right modifications;ConflictPathHasMissReference;MissReferenceImpactedFlowsCount;ConflictMatchDetail
antlr4;org.antlr.v4.codegen.target.Python2Target;python2Keywords;69ff2669eec265e25721dbc27cb00f6c381d0b41;[64];[53];False;0;
antlr4;org.antlr.v4.codegen.target.Python3Target;python3Keywords;69ff2669eec265e25721dbc27cb00f6c381d0b41;[64];[53];False;0;
druid;com.metamx.druid.loading.S3SegmentPusher;push(File, DataSegment);05168808c278c080c59c19e858d9471b316cd1f5;[66, 118, 139, 110];[105, 125];False;0;
netty;org.jboss.netty.handler.codec.frame.LengthFieldBasedFrameDecoder;decode(ChannelHandlerContext, Channel, ChannelBuffer);193acdb36cd3da9bfc62dd69c4208dff3f0a2b1b;[358, 360];[322, 374];False;0;
OpenTripPlanner;org.opentripplanner.routing.spt.MultiShortestPathTree;dominates(State, State);4c506dce43775704919d084f0acfba86d251bf4a;[144, 146, 147, 148, 149, 152, 141];[123];False;0;
webbit;org.webbitserver.netty.WebSocketClient;adjustPipelineToWebSocket(ChannelHandlerContext, MessageEvent, ChannelHandler, ChannelHandler);74d2d2b87704d003acacb34e4ca8fb5f897b938f;[260];[262];False;0;
resty-gwt;org.fusesource.restygwt.rebind.DirectRestServiceInterfaceClassCreator;getMethodCallback(JMethod);867b917c43c32acbdcac55767e7f04334006c866;[83, 84, 85];[86, 87, 88, 89, 90, 91];True;2;"[{""Kind"": ""source"", ""ClassName"": ""org.fusesource.restygwt.rebind.DirectRestServiceInterfaceClassCreator"", ""MethodName"": ""getMethodCallback"", ""SourceCodeLineNumber"": 85, ""UnitStatement"": ""$stack18 = new java.lang.StringBuilder"", ""TraversedLines"": [""at org.fusesource.restygwt.rebind.DirectRestServiceInterfaceClassCreator.getMethodCallback(DirectRestServiceInterfaceClassCreator.java:85)""]}, {""Kind"": ""sink"", ""ClassName"": ""org.fusesource.restygwt.rebind.DirectRestServiceInterfaceClassCreator"", ""MethodName"": ""getMethodCallback"", ""SourceCodeLineNumber"": 89, ""UnitStatement"": ""$stack12 = new java.lang.StringBuilder"", ""TraversedLines"": [""at org.fusesource.restygwt.rebind.DirectRestServiceInterfaceClassCreator.getMethodCallback(DirectRestServiceInterfaceClassCreator.java:89)""]}]"
storm;org.apache.storm.kafka.spout.KafkaSpout;open(Map, TopologyContext, SpoutOutputCollector);ad2be678831b3b060229fd936e3908110162b7ac;[];[118, 102];False;0;
storm;org.apache.storm.kafka.spout.KafkaSpoutConfig;KafkaSpoutConfig(Builder<K,V>);ad2be678831b3b060229fd936e3908110162b7ac;[];[435, 436, 437, 438, 439, 440, 441, 430, 431];False;0;
storm;org.apache.storm.kafka.spout.KafkaSpoutConfig;toString();ad2be678831b3b060229fd936e3908110162b7ac;[];[515, 516, 521, 522];False;0;
storm;org.apache.storm.kafka.spout.KafkaSpout;emitTupleIfNotEmitted(ConsumerRecord<K,V>);bd1f5c54752f67b484a83c26667331234234d3a3;[305, 306, 307, 312];[316, 319];False;0;
swagger-maven-plugin;com.github.kongchen.swagger.docgen.reader.AbstractReader;hasValidAnnotations(List<Annotation>);e825a7fdc6ef688f1253b93d2cb236e710acfc56;[342, 343];[342];False;0;
jsoup;org.jsoup.helper.HttpConnection;execute(Connection.Request, Response);a8b6982de98ff76ef254031d7152fff57f6bf941;[584, 585, 586];[544, 547];False;0;
