Conflict;Kind;MatchedTraversedLine;CSV_ClassName;CSV_MethodName;CSV_SourceCodeLineNumber
{'Kind': 'source', 'ClassName': 'net.helpscout.api.ApiClient', 'MethodName': 'getPage', 'SourceCodeLineNumber': 1484, 'UnitStatement': 'obj = specialinvoke this.<net.helpscout.api.ApiClient: com.google.gson.JsonElement parseJson(java.lang.String,java.lang.String)>(url#2, json)', 'TraversedLines': ['at net.helpscout.api.ApiClient.getPage(ApiClient.java:1484)', 'at net.helpscout.api.ApiClient.getPage(ApiClient.java:1486)', 'at net.helpscout.api.ApiClient.getPage(ApiClient.java:1486)', 'at net.helpscout.api.ApiClient.getPage(ApiClient.java:1486)']};source;at net.helpscout.api.ApiClient.getPage(ApiClient.java:1486);net.helpscout.api.ApiClient;private net.helpscout.api.Page getPage(java.lang.String, java.util.Map, java.lang.Class, int) throws net.helpscout.api.ApiException;1486
{'Kind': 'source', 'ClassName': 'net.helpscout.api.ApiClient', 'MethodName': 'getPage', 'SourceCodeLineNumber': 1484, 'UnitStatement': 'obj = specialinvoke this.<net.helpscout.api.ApiClient: com.google.gson.JsonElement parseJson(java.lang.String,java.lang.String)>(url#2, json)', 'TraversedLines': ['at net.helpscout.api.ApiClient.getPage(ApiClient.java:1484)', 'at net.helpscout.api.ApiClient.getPage(ApiClient.java:1486)', 'at net.helpscout.api.ApiClient.getPage(ApiClient.java:1486)', 'at net.helpscout.api.ApiClient.getPage(ApiClient.java:1486)']};source;at net.helpscout.api.ApiClient.getPage(ApiClient.java:1486);net.helpscout.api.ApiClient;private net.helpscout.api.Page getPage(java.lang.String, java.util.Map, java.lang.Class, int) throws net.helpscout.api.ApiException;1486
{'Kind': 'source', 'ClassName': 'net.helpscout.api.ApiClient', 'MethodName': 'getPage', 'SourceCodeLineNumber': 1484, 'UnitStatement': 'obj = specialinvoke this.<net.helpscout.api.ApiClient: com.google.gson.JsonElement parseJson(java.lang.String,java.lang.String)>(url#2, json)', 'TraversedLines': ['at net.helpscout.api.ApiClient.getPage(ApiClient.java:1484)', 'at net.helpscout.api.ApiClient.getPage(ApiClient.java:1486)', 'at net.helpscout.api.ApiClient.getPage(ApiClient.java:1486)', 'at net.helpscout.api.ApiClient.getPage(ApiClient.java:1486)']};source;at net.helpscout.api.ApiClient.getPage(ApiClient.java:1486);net.helpscout.api.ApiClient;private net.helpscout.api.Page getPage(java.lang.String, java.util.Map, java.lang.Class, int) throws net.helpscout.api.ApiException;1486
{'Kind': 'source', 'ClassName': 'net.helpscout.api.adapters.ThreadsAdapater', 'MethodName': 'deserialize', 'SourceCodeLineNumber': 33, 'UnitStatement': '$stack14 = <net.helpscout.api.cbo.ThreadType: net.helpscout.api.cbo.ThreadType Customer>', 'TraversedLines': ['at net.helpscout.api.adapters.ThreadsAdapater.deserialize(ThreadsAdapater.java:33)', 'at net.helpscout.api.adapters.ThreadsAdapater.deserialize(ThreadsAdapater.java:42)', 'at net.helpscout.api.adapters.ThreadsAdapater.deserialize(ThreadsAdapater.java:42)']};source;at net.helpscout.api.adapters.ThreadsAdapater.deserialize(ThreadsAdapater.java:42);net.helpscout.api.adapters.ThreadsAdapater;public net.helpscout.api.model.thread.LineItem deserialize(com.google.gson.JsonElement, java.lang.reflect.Type, com.google.gson.JsonDeserializationContext) throws com.google.gson.JsonParseException;42
{'Kind': 'source', 'ClassName': 'net.helpscout.api.adapters.ThreadsAdapater', 'MethodName': 'deserialize', 'SourceCodeLineNumber': 33, 'UnitStatement': '$stack14 = <net.helpscout.api.cbo.ThreadType: net.helpscout.api.cbo.ThreadType Customer>', 'TraversedLines': ['at net.helpscout.api.adapters.ThreadsAdapater.deserialize(ThreadsAdapater.java:33)', 'at net.helpscout.api.adapters.ThreadsAdapater.deserialize(ThreadsAdapater.java:42)', 'at net.helpscout.api.adapters.ThreadsAdapater.deserialize(ThreadsAdapater.java:42)']};source;at net.helpscout.api.adapters.ThreadsAdapater.deserialize(ThreadsAdapater.java:42);net.helpscout.api.adapters.ThreadsAdapater;public net.helpscout.api.model.thread.LineItem deserialize(com.google.gson.JsonElement, java.lang.reflect.Type, com.google.gson.JsonDeserializationContext) throws com.google.gson.JsonParseException;42
{'Kind': 'source', 'ClassName': 'net.helpscout.api.adapters.ThreadsAdapater', 'MethodName': 'deserialize', 'SourceCodeLineNumber': 37, 'UnitStatement': '$stack20 = <net.helpscout.api.cbo.ThreadType: net.helpscout.api.cbo.ThreadType ForwardParent>', 'TraversedLines': ['at net.helpscout.api.adapters.ThreadsAdapater.deserialize(ThreadsAdapater.java:37)', 'at net.helpscout.api.adapters.ThreadsAdapater.deserialize(ThreadsAdapater.java:42)', 'at net.helpscout.api.adapters.ThreadsAdapater.deserialize(ThreadsAdapater.java:42)']};source;at net.helpscout.api.adapters.ThreadsAdapater.deserialize(ThreadsAdapater.java:42);net.helpscout.api.adapters.ThreadsAdapater;public net.helpscout.api.model.thread.LineItem deserialize(com.google.gson.JsonElement, java.lang.reflect.Type, com.google.gson.JsonDeserializationContext) throws com.google.gson.JsonParseException;42
{'Kind': 'source', 'ClassName': 'net.helpscout.api.adapters.ThreadsAdapater', 'MethodName': 'deserialize', 'SourceCodeLineNumber': 37, 'UnitStatement': '$stack20 = <net.helpscout.api.cbo.ThreadType: net.helpscout.api.cbo.ThreadType ForwardParent>', 'TraversedLines': ['at net.helpscout.api.adapters.ThreadsAdapater.deserialize(ThreadsAdapater.java:37)', 'at net.helpscout.api.adapters.ThreadsAdapater.deserialize(ThreadsAdapater.java:42)', 'at net.helpscout.api.adapters.ThreadsAdapater.deserialize(ThreadsAdapater.java:42)']};source;at net.helpscout.api.adapters.ThreadsAdapater.deserialize(ThreadsAdapater.java:42);net.helpscout.api.adapters.ThreadsAdapater;public net.helpscout.api.model.thread.LineItem deserialize(com.google.gson.JsonElement, java.lang.reflect.Type, com.google.gson.JsonDeserializationContext) throws com.google.gson.JsonParseException;42
{'Kind': 'source', 'ClassName': 'net.helpscout.api.adapters.ThreadsAdapater', 'MethodName': 'deserialize', 'SourceCodeLineNumber': 29, 'UnitStatement': '$stack8 = <net.helpscout.api.cbo.ThreadType: net.helpscout.api.cbo.ThreadType LineItem>', 'TraversedLines': ['at net.helpscout.api.adapters.ThreadsAdapater.deserialize(ThreadsAdapater.java:29)', 'at net.helpscout.api.adapters.ThreadsAdapater.deserialize(ThreadsAdapater.java:42)', 'at net.helpscout.api.adapters.ThreadsAdapater.deserialize(ThreadsAdapater.java:42)']};source;at net.helpscout.api.adapters.ThreadsAdapater.deserialize(ThreadsAdapater.java:42);net.helpscout.api.adapters.ThreadsAdapater;public net.helpscout.api.model.thread.LineItem deserialize(com.google.gson.JsonElement, java.lang.reflect.Type, com.google.gson.JsonDeserializationContext) throws com.google.gson.JsonParseException;42
{'Kind': 'source', 'ClassName': 'net.helpscout.api.adapters.ThreadsAdapater', 'MethodName': 'deserialize', 'SourceCodeLineNumber': 29, 'UnitStatement': '$stack8 = <net.helpscout.api.cbo.ThreadType: net.helpscout.api.cbo.ThreadType LineItem>', 'TraversedLines': ['at net.helpscout.api.adapters.ThreadsAdapater.deserialize(ThreadsAdapater.java:29)', 'at net.helpscout.api.adapters.ThreadsAdapater.deserialize(ThreadsAdapater.java:42)', 'at net.helpscout.api.adapters.ThreadsAdapater.deserialize(ThreadsAdapater.java:42)']};source;at net.helpscout.api.adapters.ThreadsAdapater.deserialize(ThreadsAdapater.java:42);net.helpscout.api.adapters.ThreadsAdapater;public net.helpscout.api.model.thread.LineItem deserialize(com.google.gson.JsonElement, java.lang.reflect.Type, com.google.gson.JsonDeserializationContext) throws com.google.gson.JsonParseException;42
{'Kind': 'source', 'ClassName': 'net.helpscout.api.adapters.ThreadsAdapater', 'MethodName': 'deserialize', 'SourceCodeLineNumber': 35, 'UnitStatement': '$stack17 = <net.helpscout.api.cbo.ThreadType: net.helpscout.api.cbo.ThreadType Note>', 'TraversedLines': ['at net.helpscout.api.adapters.ThreadsAdapater.deserialize(ThreadsAdapater.java:35)', 'at net.helpscout.api.adapters.ThreadsAdapater.deserialize(ThreadsAdapater.java:42)', 'at net.helpscout.api.adapters.ThreadsAdapater.deserialize(ThreadsAdapater.java:42)']};source;at net.helpscout.api.adapters.ThreadsAdapater.deserialize(ThreadsAdapater.java:42);net.helpscout.api.adapters.ThreadsAdapater;public net.helpscout.api.model.thread.LineItem deserialize(com.google.gson.JsonElement, java.lang.reflect.Type, com.google.gson.JsonDeserializationContext) throws com.google.gson.JsonParseException;42
