Conflict;Kind;MatchedTraversedLine;CSV_ClassName;CSV_MethodName;CSV_SourceCodeLineNumber
{'Kind': 'source', 'ClassName': 'net.helpscout.api.ApiClient', 'MethodName': 'getPage', 'SourceCodeLineNumber': 1484, 'UnitStatement': 'obj = specialinvoke this.<net.helpscout.api.ApiClient: com.google.gson.JsonElement parseJson(java.lang.String,java.lang.String)>(url#2, json)', 'TraversedLines': ['at net.helpscout.api.ApiClient.getPage(ApiClient.java:1484)', 'at net.helpscout.api.ApiClient.getPage(ApiClient.java:1486)', 'at net.helpscout.api.ApiClient.getPage(ApiClient.java:1486)', 'at net.helpscout.api.ApiClient.getPage(ApiClient.java:1486)']};source;at net.helpscout.api.ApiClient.getPage(ApiClient.java:1484);net.helpscout.api.ApiClient;private net.helpscout.api.Page getPage(java.lang.String, java.util.Map, java.lang.Class, int) throws net.helpscout.api.ApiException;1484
{'Kind': 'source', 'ClassName': 'net.helpscout.api.ApiClient', 'MethodName': 'getPage', 'SourceCodeLineNumber': 1484, 'UnitStatement': 'obj = specialinvoke this.<net.helpscout.api.ApiClient: com.google.gson.JsonElement parseJson(java.lang.String,java.lang.String)>(url#2, json)', 'TraversedLines': ['at net.helpscout.api.ApiClient.getPage(ApiClient.java:1484)', 'at net.helpscout.api.ApiClient.getPage(ApiClient.java:1486)', 'at net.helpscout.api.ApiClient.getPage(ApiClient.java:1486)', 'at net.helpscout.api.ApiClient.getPage(ApiClient.java:1486)']};source;at net.helpscout.api.ApiClient.getPage(ApiClient.java:1486);net.helpscout.api.ApiClient;private net.helpscout.api.Page getPage(java.lang.String, java.util.Map, java.lang.Class, int) throws net.helpscout.api.ApiException;1486
{'Kind': 'source', 'ClassName': 'net.helpscout.api.ApiClient', 'MethodName': 'getPage', 'SourceCodeLineNumber': 1484, 'UnitStatement': 'obj = specialinvoke this.<net.helpscout.api.ApiClient: com.google.gson.JsonElement parseJson(java.lang.String,java.lang.String)>(url#2, json)', 'TraversedLines': ['at net.helpscout.api.ApiClient.getPage(ApiClient.java:1484)', 'at net.helpscout.api.ApiClient.getPage(ApiClient.java:1486)', 'at net.helpscout.api.ApiClient.getPage(ApiClient.java:1486)', 'at net.helpscout.api.ApiClient.getPage(ApiClient.java:1486)']};source;at net.helpscout.api.ApiClient.getPage(ApiClient.java:1486);net.helpscout.api.ApiClient;private net.helpscout.api.Page getPage(java.lang.String, java.util.Map, java.lang.Class, int) throws net.helpscout.api.ApiException;1486
{'Kind': 'source', 'ClassName': 'net.helpscout.api.ApiClient', 'MethodName': 'getPage', 'SourceCodeLineNumber': 1484, 'UnitStatement': 'obj = specialinvoke this.<net.helpscout.api.ApiClient: com.google.gson.JsonElement parseJson(java.lang.String,java.lang.String)>(url#2, json)', 'TraversedLines': ['at net.helpscout.api.ApiClient.getPage(ApiClient.java:1484)', 'at net.helpscout.api.ApiClient.getPage(ApiClient.java:1486)', 'at net.helpscout.api.ApiClient.getPage(ApiClient.java:1486)', 'at net.helpscout.api.ApiClient.getPage(ApiClient.java:1486)']};source;at net.helpscout.api.ApiClient.getPage(ApiClient.java:1486);net.helpscout.api.ApiClient;private net.helpscout.api.Page getPage(java.lang.String, java.util.Map, java.lang.Class, int) throws net.helpscout.api.ApiException;1486
{'Kind': 'source', 'ClassName': 'org.w3.ldp.testsuite.reporter.LdpHtmlReporter', 'MethodName': 'getAdditionalInfo', 'SourceCodeLineNumber': 564, 'UnitStatement': '$stack70 = (org.testng.annotations.Test) $stack69', 'TraversedLines': ['at org.w3.ldp.testsuite.reporter.LdpHtmlReporter.getAdditionalInfo(LdpHtmlReporter.java:564)', 'at org.w3.ldp.testsuite.reporter.LdpHtmlReporter.getAdditionalInfo(LdpHtmlReporter.java:564)', 'at org.w3.ldp.testsuite.reporter.LdpHtmlReporter.getAdditionalInfo(LdpHtmlReporter.java:564)', 'at org.w3.ldp.testsuite.reporter.LdpHtmlReporter.getAdditionalInfo(LdpHtmlReporter.java:566)', 'at org.w3.ldp.testsuite.reporter.LdpHtmlReporter.getAdditionalInfo(LdpHtmlReporter.java:566)']};source;at org.w3.ldp.testsuite.reporter.LdpHtmlReporter.getAdditionalInfo(LdpHtmlReporter.java:564);org.w3.ldp.testsuite.reporter.LdpHtmlReporter;private void getAdditionalInfo(org.testng.ITestResult, org.testng.ITestNGMethod) throws java.io.IOException;564
{'Kind': 'source', 'ClassName': 'org.w3.ldp.testsuite.reporter.LdpHtmlReporter', 'MethodName': 'getAdditionalInfo', 'SourceCodeLineNumber': 564, 'UnitStatement': '$stack70 = (org.testng.annotations.Test) $stack69', 'TraversedLines': ['at org.w3.ldp.testsuite.reporter.LdpHtmlReporter.getAdditionalInfo(LdpHtmlReporter.java:564)', 'at org.w3.ldp.testsuite.reporter.LdpHtmlReporter.getAdditionalInfo(LdpHtmlReporter.java:564)', 'at org.w3.ldp.testsuite.reporter.LdpHtmlReporter.getAdditionalInfo(LdpHtmlReporter.java:564)', 'at org.w3.ldp.testsuite.reporter.LdpHtmlReporter.getAdditionalInfo(LdpHtmlReporter.java:566)', 'at org.w3.ldp.testsuite.reporter.LdpHtmlReporter.getAdditionalInfo(LdpHtmlReporter.java:566)']};source;at org.w3.ldp.testsuite.reporter.LdpHtmlReporter.getAdditionalInfo(LdpHtmlReporter.java:564);org.w3.ldp.testsuite.reporter.LdpHtmlReporter;private void getAdditionalInfo(org.testng.ITestResult, org.testng.ITestNGMethod) throws java.io.IOException;564
{'Kind': 'source', 'ClassName': 'org.w3.ldp.testsuite.reporter.LdpHtmlReporter', 'MethodName': 'getAdditionalInfo', 'SourceCodeLineNumber': 564, 'UnitStatement': '$stack70 = (org.testng.annotations.Test) $stack69', 'TraversedLines': ['at org.w3.ldp.testsuite.reporter.LdpHtmlReporter.getAdditionalInfo(LdpHtmlReporter.java:564)', 'at org.w3.ldp.testsuite.reporter.LdpHtmlReporter.getAdditionalInfo(LdpHtmlReporter.java:564)', 'at org.w3.ldp.testsuite.reporter.LdpHtmlReporter.getAdditionalInfo(LdpHtmlReporter.java:564)', 'at org.w3.ldp.testsuite.reporter.LdpHtmlReporter.getAdditionalInfo(LdpHtmlReporter.java:566)', 'at org.w3.ldp.testsuite.reporter.LdpHtmlReporter.getAdditionalInfo(LdpHtmlReporter.java:566)']};source;at org.w3.ldp.testsuite.reporter.LdpHtmlReporter.getAdditionalInfo(LdpHtmlReporter.java:564);org.w3.ldp.testsuite.reporter.LdpHtmlReporter;private void getAdditionalInfo(org.testng.ITestResult, org.testng.ITestNGMethod) throws java.io.IOException;564
{'Kind': 'source', 'ClassName': 'org.w3.ldp.testsuite.reporter.LdpHtmlReporter', 'MethodName': 'getAdditionalInfo', 'SourceCodeLineNumber': 564, 'UnitStatement': '$stack70 = (org.testng.annotations.Test) $stack69', 'TraversedLines': ['at org.w3.ldp.testsuite.reporter.LdpHtmlReporter.getAdditionalInfo(LdpHtmlReporter.java:564)', 'at org.w3.ldp.testsuite.reporter.LdpHtmlReporter.getAdditionalInfo(LdpHtmlReporter.java:564)', 'at org.w3.ldp.testsuite.reporter.LdpHtmlReporter.getAdditionalInfo(LdpHtmlReporter.java:564)', 'at org.w3.ldp.testsuite.reporter.LdpHtmlReporter.getAdditionalInfo(LdpHtmlReporter.java:566)', 'at org.w3.ldp.testsuite.reporter.LdpHtmlReporter.getAdditionalInfo(LdpHtmlReporter.java:566)']};source;at org.w3.ldp.testsuite.reporter.LdpHtmlReporter.getAdditionalInfo(LdpHtmlReporter.java:566);org.w3.ldp.testsuite.reporter.LdpHtmlReporter;private void getAdditionalInfo(org.testng.ITestResult, org.testng.ITestNGMethod) throws java.io.IOException;566
{'Kind': 'source', 'ClassName': 'org.w3.ldp.testsuite.reporter.LdpHtmlReporter', 'MethodName': 'getAdditionalInfo', 'SourceCodeLineNumber': 564, 'UnitStatement': '$stack70 = (org.testng.annotations.Test) $stack69', 'TraversedLines': ['at org.w3.ldp.testsuite.reporter.LdpHtmlReporter.getAdditionalInfo(LdpHtmlReporter.java:564)', 'at org.w3.ldp.testsuite.reporter.LdpHtmlReporter.getAdditionalInfo(LdpHtmlReporter.java:564)', 'at org.w3.ldp.testsuite.reporter.LdpHtmlReporter.getAdditionalInfo(LdpHtmlReporter.java:564)', 'at org.w3.ldp.testsuite.reporter.LdpHtmlReporter.getAdditionalInfo(LdpHtmlReporter.java:566)', 'at org.w3.ldp.testsuite.reporter.LdpHtmlReporter.getAdditionalInfo(LdpHtmlReporter.java:566)']};source;at org.w3.ldp.testsuite.reporter.LdpHtmlReporter.getAdditionalInfo(LdpHtmlReporter.java:566);org.w3.ldp.testsuite.reporter.LdpHtmlReporter;private void getAdditionalInfo(org.testng.ITestResult, org.testng.ITestNGMethod) throws java.io.IOException;566
{'Kind': 'source', 'ClassName': 'org.w3.ldp.testsuite.reporter.LdpHtmlReporter', 'MethodName': 'getAdditionalInfo', 'SourceCodeLineNumber': 561, 'UnitStatement': 'p#30 = virtualinvoke className#29.<java.lang.Class: java.lang.reflect.Method[] getDeclaredMethods()>()', 'TraversedLines': ['at org.w3.ldp.testsuite.reporter.LdpHtmlReporter.getAdditionalInfo(LdpHtmlReporter.java:561)', 'at org.w3.ldp.testsuite.reporter.LdpHtmlReporter.getAdditionalInfo(LdpHtmlReporter.java:562)', 'at org.w3.ldp.testsuite.reporter.LdpHtmlReporter.getAdditionalInfo(LdpHtmlReporter.java:566)', 'at org.w3.ldp.testsuite.reporter.LdpHtmlReporter.getAdditionalInfo(LdpHtmlReporter.java:566)']};source;at org.w3.ldp.testsuite.reporter.LdpHtmlReporter.getAdditionalInfo(LdpHtmlReporter.java:561);org.w3.ldp.testsuite.reporter.LdpHtmlReporter;private void getAdditionalInfo(org.testng.ITestResult, org.testng.ITestNGMethod) throws java.io.IOException;561
