Conflict;Kind;MatchedTraversedLine;CSV_ClassName;CSV_MethodName;CSV_SourceCodeLineNumber
{'Kind': 'source', 'ClassName': 'java.lang.String', 'MethodName': 'lastIndexOf', 'SourceCodeLineNumber': 1611, 'UnitStatement': '$stack2 = l0.<java.lang.String: char[] value>', 'TraversedLines': ['at org.w3.ldp.testsuite.reporter.LdpHtmlReporter.getAdditionalInfo(LdpHtmlReporter.java:561)', 'at java.lang.Class.getDeclaredMethods(Class.java:1974)', 'at java.lang.Class.checkMemberAccess(Class.java:2351)', 'at java.lang.Class.checkPackageAccess(Class.java:2367)', 'at java.lang.String.lastIndexOf(String.java:1611)']};source;at java.lang.String.lastIndexOf(String.java:1611);java.lang.String;public int lastIndexOf(int);1611
{'Kind': 'sink', 'ClassName': 'java.lang.String', 'MethodName': 'lastIndexOf', 'SourceCodeLineNumber': 1611, 'UnitStatement': '$stack2 = l0.<java.lang.String: char[] value>', 'TraversedLines': ['at org.w3.ldp.testsuite.reporter.LdpHtmlReporter.getAdditionalInfo(LdpHtmlReporter.java:561)', 'at java.lang.Class.getDeclaredMethods(Class.java:1974)', 'at java.lang.Class.checkMemberAccess(Class.java:2351)', 'at java.lang.Class.checkPackageAccess(Class.java:2367)', 'at java.lang.String.lastIndexOf(String.java:1611)']};sink;at java.lang.String.lastIndexOf(String.java:1611);java.lang.String;public int lastIndexOf(int);1611
{'Kind': 'source', 'ClassName': 'java.lang.String', 'MethodName': 'lastIndexOf', 'SourceCodeLineNumber': 1611, 'UnitStatement': '$stack3 = lengthof $stack2', 'TraversedLines': ['at org.w3.ldp.testsuite.reporter.LdpHtmlReporter.getAdditionalInfo(LdpHtmlReporter.java:561)', 'at java.lang.Class.getDeclaredMethods(Class.java:1974)', 'at java.lang.Class.checkMemberAccess(Class.java:2351)', 'at java.lang.Class.checkPackageAccess(Class.java:2367)', 'at java.lang.String.lastIndexOf(String.java:1611)']};source;at java.lang.String.lastIndexOf(String.java:1611);java.lang.String;public int lastIndexOf(int);1611
{'Kind': 'sink', 'ClassName': 'java.lang.String', 'MethodName': 'lastIndexOf', 'SourceCodeLineNumber': 1611, 'UnitStatement': '$stack3 = lengthof $stack2', 'TraversedLines': ['at org.w3.ldp.testsuite.reporter.LdpHtmlReporter.getAdditionalInfo(LdpHtmlReporter.java:561)', 'at java.lang.Class.getDeclaredMethods(Class.java:1974)', 'at java.lang.Class.checkMemberAccess(Class.java:2351)', 'at java.lang.Class.checkPackageAccess(Class.java:2367)', 'at java.lang.String.lastIndexOf(String.java:1611)']};sink;at java.lang.String.lastIndexOf(String.java:1611);java.lang.String;public int lastIndexOf(int);1611
{'Kind': 'source', 'ClassName': 'java.lang.String', 'MethodName': 'lastIndexOf', 'SourceCodeLineNumber': 1611, 'UnitStatement': '$stack4 = $stack3 - 1', 'TraversedLines': ['at org.w3.ldp.testsuite.reporter.LdpHtmlReporter.getAdditionalInfo(LdpHtmlReporter.java:561)', 'at java.lang.Class.getDeclaredMethods(Class.java:1974)', 'at java.lang.Class.checkMemberAccess(Class.java:2351)', 'at java.lang.Class.checkPackageAccess(Class.java:2367)', 'at java.lang.String.lastIndexOf(String.java:1611)']};source;at java.lang.String.lastIndexOf(String.java:1611);java.lang.String;public int lastIndexOf(int);1611
{'Kind': 'sink', 'ClassName': 'java.lang.String', 'MethodName': 'lastIndexOf', 'SourceCodeLineNumber': 1611, 'UnitStatement': '$stack4 = $stack3 - 1', 'TraversedLines': ['at org.w3.ldp.testsuite.reporter.LdpHtmlReporter.getAdditionalInfo(LdpHtmlReporter.java:561)', 'at java.lang.Class.getDeclaredMethods(Class.java:1974)', 'at java.lang.Class.checkMemberAccess(Class.java:2351)', 'at java.lang.Class.checkPackageAccess(Class.java:2367)', 'at java.lang.String.lastIndexOf(String.java:1611)']};sink;at java.lang.String.lastIndexOf(String.java:1611);java.lang.String;public int lastIndexOf(int);1611
{'Kind': 'source', 'ClassName': 'java.lang.Class', 'MethodName': 'getReflectionFactory', 'SourceCodeLineNumber': 3247, 'UnitStatement': '$stack4 = (sun.reflect.ReflectionFactory) $stack3', 'TraversedLines': ['at org.w3.ldp.testsuite.reporter.LdpHtmlReporter.getAdditionalInfo(LdpHtmlReporter.java:561)', 'at java.lang.Class.getDeclaredMethods(Class.java:1975)', 'at java.lang.Class.copyMethods(Class.java:3122)', 'at java.lang.Class.getReflectionFactory(Class.java:3247)']};source;at java.lang.Class.getReflectionFactory(Class.java:3247);java.lang.Class;private static sun.reflect.ReflectionFactory getReflectionFactory();3247
{'Kind': 'sink', 'ClassName': 'java.lang.Class', 'MethodName': 'getReflectionFactory', 'SourceCodeLineNumber': 3247, 'UnitStatement': '$stack4 = (sun.reflect.ReflectionFactory) $stack3', 'TraversedLines': ['at org.w3.ldp.testsuite.reporter.LdpHtmlReporter.getAdditionalInfo(LdpHtmlReporter.java:561)', 'at java.lang.Class.getDeclaredMethods(Class.java:1975)', 'at java.lang.Class.copyMethods(Class.java:3122)', 'at java.lang.Class.getReflectionFactory(Class.java:3247)']};sink;at java.lang.Class.getReflectionFactory(Class.java:3247);java.lang.Class;private static sun.reflect.ReflectionFactory getReflectionFactory();3247
{'Kind': 'source', 'ClassName': 'java.lang.Class', 'MethodName': 'getReflectionFactory', 'SourceCodeLineNumber': 3247, 'UnitStatement': '<java.lang.Class: sun.reflect.ReflectionFactory reflectionFactory> = $stack4', 'TraversedLines': ['at org.w3.ldp.testsuite.reporter.LdpHtmlReporter.getAdditionalInfo(LdpHtmlReporter.java:561)', 'at java.lang.Class.getDeclaredMethods(Class.java:1975)', 'at java.lang.Class.copyMethods(Class.java:3122)', 'at java.lang.Class.getReflectionFactory(Class.java:3247)']};source;at java.lang.Class.getReflectionFactory(Class.java:3247);java.lang.Class;private static sun.reflect.ReflectionFactory getReflectionFactory();3247
{'Kind': 'sink', 'ClassName': 'java.lang.Class', 'MethodName': 'getReflectionFactory', 'SourceCodeLineNumber': 3247, 'UnitStatement': '<java.lang.Class: sun.reflect.ReflectionFactory reflectionFactory> = $stack4', 'TraversedLines': ['at org.w3.ldp.testsuite.reporter.LdpHtmlReporter.getAdditionalInfo(LdpHtmlReporter.java:561)', 'at java.lang.Class.getDeclaredMethods(Class.java:1975)', 'at java.lang.Class.copyMethods(Class.java:3122)', 'at java.lang.Class.getReflectionFactory(Class.java:3247)']};sink;at java.lang.Class.getReflectionFactory(Class.java:3247);java.lang.Class;private static sun.reflect.ReflectionFactory getReflectionFactory();3247
{'Kind': 'source', 'ClassName': 'java.lang.Class', 'MethodName': 'getReflectionFactory', 'SourceCodeLineNumber': 3245, 'UnitStatement': '$stack2 = new sun.reflect.ReflectionFactory$GetReflectionFactoryAction', 'TraversedLines': ['at org.w3.ldp.testsuite.reporter.LdpHtmlReporter.getAdditionalInfo(LdpHtmlReporter.java:561)', 'at java.lang.Class.getDeclaredMethods(Class.java:1975)', 'at java.lang.Class.copyMethods(Class.java:3122)', 'at java.lang.Class.getReflectionFactory(Class.java:3245)']};source;at java.lang.Class.getReflectionFactory(Class.java:3245);java.lang.Class;private static sun.reflect.ReflectionFactory getReflectionFactory();3245
