Time_Sec,CPU_Percent_Total,Memory_GB
1.0,56.92,3.7259
2.0,64.26,3.9513
3.0,66.64,4.16
4.01,77.0,4.3126
5.01,75.65,4.4306
6.01,84.0,4.5371
7.01,87.3,4.6506
8.01,69.56,4.7807
9.01,66.77,4.9307
10.01,91.3,5.1263
11.02,48.63,5.198
12.02,86.91,5.3736
13.02,89.41,5.5041
14.02,82.33,5.6835
15.02,83.27,5.9303
16.02,80.42,6.2667
17.02,41.84,5.1745
18.02,73.19,5.3347
19.03,82.1,5.7149
20.03,86.66,6.0322
21.03,94.37,6.1752
22.03,85.02,6.2366
23.03,80.03,6.469
24.03,78.1,6.6663
25.03,77.15,6.8291
26.04,78.06,7.0643
27.04,78.55,7.3673
28.04,76.72,7.5558
29.04,76.22,7.794
30.04,76.1,7.9502
31.04,76.24,8.1116
32.05,72.75,8.3285
33.05,47.15,8.4609
34.05,38.91,8.5591
35.05,49.61,8.6576
36.05,36.85,8.8357
37.05,30.81,8.9302
38.05,30.82,9.0261
39.06,44.78,9.1404
40.06,54.36,9.2925
41.06,37.8,9.4384
42.06,28.79,9.5299
43.06,27.85,9.5957
44.06,25.83,9.7007
45.06,32.13,9.7745
46.07,42.84,9.8508
47.07,35.59,9.9271
48.07,27.12,10.0673
49.07,25.87,10.1564
50.07,39.82,10.2951
51.07,27.55,10.3641
52.08,33.14,10.4381
53.08,36.44,10.6244
54.08,27.25,10.6244
55.08,26.31,10.67
56.08,37.66,10.7245
57.08,40.32,10.7245
58.09,39.9,10.7245
59.09,26.04,10.7246
60.09,27.26,10.7246
61.09,36.24,10.7246
62.09,25.59,10.7246
63.09,32.92,10.7246
64.1,36.12,10.7246
65.1,27.93,10.7246
66.1,27.19,10.7246
67.1,25.22,10.7246
68.1,47.19,10.7243
69.1,26.92,10.7244
70.11,48.97,10.7244
71.11,25.36,10.7244
72.11,25.36,10.7244
73.11,26.25,10.7244
74.11,34.35,10.7244
75.11,29.13,10.7245
76.12,33.9,10.7245
77.12,49.12,10.7245
78.12,81.48,10.7344
79.12,49.69,10.7356
80.12,27.11,10.7356
81.12,26.1,10.7356
82.13,25.95,10.7356
83.13,26.21,10.7356
84.13,37.08,10.7539
85.13,27.76,10.7539
86.13,25.95,10.7539
87.13,25.49,10.7539
88.14,25.68,10.7539
89.14,27.29,10.7539
90.14,25.48,10.7539
91.14,25.27,10.7539
92.14,27.16,10.7539
93.14,25.23,10.7539
94.15,25.72,10.7539
95.15,36.13,10.8173
96.15,25.43,10.8173
97.15,27.23,10.8173
98.15,27.2,10.8174
99.15,27.16,10.8174
100.16,25.92,10.8174
101.16,25.75,10.8174
102.16,27.1,10.8174
103.16,25.48,10.8174
104.16,35.07,10.8184
105.16,25.54,10.8184
106.17,25.32,10.8184
107.17,25.12,10.8184
108.17,25.41,10.8184
109.17,25.91,10.8184
110.17,25.19,10.8184
111.17,25.73,10.8184
112.17,25.52,10.8183
113.18,25.21,10.8185
114.18,25.12,10.8185
115.18,27.27,10.849
116.18,33.43,11.0022
117.18,25.27,11.0022
118.18,25.12,11.0022
119.19,26.09,11.0022
120.19,25.38,11.0022
121.19,25.91,11.0022
122.19,27.66,11.0022
123.19,25.28,11.0022
124.19,25.54,11.0022
125.2,25.15,11.0022
126.2,25.24,11.2016
127.2,25.25,11.6125
128.2,26.23,11.8914
129.2,34.77,12.054
130.2,25.16,12.054
131.21,25.16,12.054
132.21,25.25,12.054
133.21,25.22,12.054
134.21,25.27,12.054
135.21,25.18,12.054
136.21,25.28,12.054
137.22,25.21,12.054
138.22,25.24,12.054
139.22,25.33,12.054
140.22,25.21,12.054
141.22,25.24,12.0542
142.22,34.9,12.0573
143.22,25.23,12.0573
144.23,25.15,12.0574
145.23,25.27,12.0574
146.23,25.23,12.0574
147.23,25.26,12.0574
148.23,25.3,12.0574
149.23,25.3,12.0574
150.24,25.18,12.0574
151.24,25.27,12.0574
152.24,25.28,12.0574
153.24,25.6,12.0574
154.24,25.3,12.0574
155.24,25.17,12.0574
156.25,36.86,12.0601
157.25,25.25,12.0601
158.25,25.23,12.0601
159.25,25.24,12.0601
160.25,25.21,12.0601
161.25,25.48,12.0601
162.26,25.21,12.0601
163.26,25.24,12.0601
164.26,25.3,12.0601
165.26,25.19,12.0601
166.26,25.34,12.0601
167.26,25.19,12.0601
168.27,25.4,12.0601
169.27,26.48,12.0601
170.27,33.46,12.0612
171.27,25.48,12.0612
172.27,25.27,12.0612
173.27,25.35,12.0612
