Time_Sec,CPU_Percent_Total,Memory_GB
1.0,55.95,4.0363
2.0,64.34,4.2611
3.0,67.19,4.4823
4.01,72.69,4.6286
5.01,79.78,4.7443
6.01,85.1,4.8522
7.01,85.05,4.9802
8.01,78.21,5.0843
9.01,75.92,5.157
10.01,75.45,5.3228
11.02,79.16,5.5236
12.02,58.49,5.6036
13.02,88.75,5.8224
14.02,84.04,5.995
15.02,87.06,6.1897
16.02,76.08,6.3713
17.02,79.13,6.6597
18.02,68.63,5.5081
19.03,50.48,5.5859
20.03,84.72,5.8708
21.03,83.97,6.114
22.03,89.72,6.4915
23.03,87.81,6.4947
24.03,82.61,6.7057
25.03,80.25,6.9735
26.04,78.66,7.2444
27.04,78.62,7.4906
28.04,77.49,7.8096
29.04,76.52,8.0131
30.04,75.67,8.2643
31.04,75.78,8.4359
32.05,75.63,8.6212
33.05,76.53,8.8642
34.05,72.58,8.986
35.05,72.84,9.065
36.05,49.88,9.1907
37.05,58.24,9.3478
38.05,54.31,9.4496
39.06,52.38,9.5377
40.06,43.33,9.6709
41.06,47.48,9.8496
42.06,44.07,9.9712
43.06,52.37,10.04
44.06,52.03,10.1201
45.07,53.28,10.2166
46.07,69.95,10.3034
47.07,29.44,10.3759
48.07,27.06,10.4969
49.07,26.28,10.5936
50.07,29.02,10.7465
51.07,59.5,10.8786
52.08,26.84,10.8901
53.08,27.24,10.9746
54.08,25.45,10.9788
55.08,26.35,10.9788
56.08,25.64,10.9788
57.08,26.74,10.9788
58.09,34.37,10.9788
59.09,26.89,10.9788
60.09,25.44,10.9788
61.09,25.79,10.9788
62.09,28.79,10.9787
63.09,30.96,10.9788
64.1,26.85,10.9788
65.1,26.57,10.9788
66.1,35.75,10.9788
67.1,28.05,10.9789
68.1,25.26,10.9786
69.1,39.86,10.9786
70.1,25.52,10.9786
71.11,37.59,10.9786
72.11,30.73,10.9786
73.11,25.69,10.9786
74.11,25.23,10.9786
75.11,25.28,10.9786
76.11,25.86,11.0224
77.12,34.66,11.0718
78.12,36.01,11.0791
79.12,61.97,11.0802
80.12,71.57,11.0805
81.12,78.83,11.0807
82.12,77.53,11.083
83.12,42.8,11.0844
84.13,35.66,11.0844
85.13,26.74,11.0844
86.13,25.85,11.0846
87.13,44.94,11.1934
88.13,25.71,11.1934
89.13,25.24,11.1934
90.13,27.21,11.1934
91.14,26.06,11.1934
92.14,27.32,11.1934
93.14,27.83,11.1933
94.14,25.36,11.1933
95.14,27.8,11.1933
96.14,27.29,11.1934
97.15,42.45,11.3573
98.15,25.48,11.3572
99.15,25.17,11.3572
100.15,25.84,11.3572
101.15,25.24,11.3572
102.15,25.74,11.3574
103.16,25.21,11.3574
104.16,27.36,11.3574
105.16,25.59,11.3574
106.16,38.57,11.3639
107.16,25.65,11.3639
108.16,25.44,11.3639
109.17,25.32,11.3639
110.17,25.3,11.3639
111.17,25.28,11.3639
112.17,27.02,11.3639
113.17,25.27,11.3639
114.17,25.32,11.3639
115.18,41.31,11.6286
116.18,25.37,11.6287
117.18,25.27,11.6288
118.18,25.12,11.6288
119.18,25.29,11.6288
120.18,25.23,11.6288
121.19,25.69,11.6288
122.19,25.24,11.6288
123.19,25.33,11.6288
124.19,25.3,11.6288
125.19,25.12,11.8303
126.19,25.59,12.192
127.2,39.57,12.292
128.2,25.25,12.292
129.2,25.31,12.292
130.2,25.2,12.292
131.2,25.22,12.292
132.2,25.3,12.292
133.21,25.26,12.292
134.21,25.43,12.292
135.21,25.18,12.292
136.21,25.3,12.292
137.21,25.22,12.292
138.21,25.2,12.292
139.22,38.75,12.307
140.22,25.24,12.307
141.22,25.29,12.307
142.22,25.2,12.307
143.22,25.57,12.307
144.22,25.31,12.3071
145.23,25.13,12.3071
146.23,25.24,12.3071
147.23,25.98,12.3071
148.23,25.23,12.3071
149.23,25.38,12.3071
150.23,25.48,12.3071
151.24,39.94,12.3004
152.24,25.18,12.3004
153.24,25.4,12.3004
154.24,25.21,12.3004
155.24,25.21,12.3004
156.24,25.33,12.3004
157.25,25.21,12.3004
158.25,25.43,12.3004
159.25,25.23,12.3003
160.25,25.2,12.3003
161.25,25.33,12.3003
162.25,40.4,12.3031
163.26,25.29,12.3031
164.26,25.12,12.3031
165.26,25.22,12.3031
166.26,25.13,12.3031
167.26,25.13,12.3031
168.26,25.32,12.3031
169.26,25.21,12.3031
170.27,25.28,12.3031
171.27,25.47,12.3032
172.27,25.19,12.3032
173.27,25.32,12.3032
174.27,38.45,12.3073
175.27,25.17,12.3073
176.28,25.42,12.3074
177.28,25.19,12.3074
178.28,25.33,12.3074
179.28,26.21,12.3076
180.28,25.14,12.3076
181.28,25.31,12.3076
182.28,25.27,12.3076
183.29,25.19,12.3076
184.29,25.31,12.3076
