Time_Sec,CPU_Percent_Total,Memory_GB
1.0,56.89,1.7184
2.0,64.27,1.9521
3.01,70.36,2.1855
4.01,68.95,2.3487
5.01,80.73,2.455
6.01,84.84,2.4744
7.01,86.17,2.6641
8.01,77.83,2.7389
9.01,72.53,2.9116
10.01,79.75,3.098
11.02,74.86,3.2751
12.02,89.95,3.4625
13.02,83.86,3.6784
14.02,71.9,3.0965
15.02,85.25,3.3652
16.02,78.17,3.6384
17.02,91.79,3.7884
18.02,87.22,4.0703
19.03,81.2,4.3548
20.03,79.78,4.5967
21.03,77.44,4.8006
22.03,77.64,4.9888
23.03,77.0,5.2491
24.03,77.98,5.5445
25.04,76.49,5.7639
26.04,77.09,5.9478
27.04,75.81,6.1122
28.04,75.9,6.364
29.04,75.65,6.5131
30.04,73.49,6.6158
31.05,54.99,6.7279
32.05,47.32,6.9064
33.05,45.3,6.9869
34.05,38.87,7.0873
35.05,60.89,7.2094
36.05,58.04,7.3846
37.05,28.08,7.5122
38.06,32.46,7.6105
39.06,27.89,7.6785
40.06,29.06,7.793
41.06,28.33,7.868
42.06,46.7,7.9426
43.06,45.16,8.2422
44.07,29.03,8.2943
45.07,25.75,8.2943
46.07,43.06,8.2943
47.07,45.78,8.2943
48.07,28.99,8.2943
49.07,25.65,8.2943
50.08,27.09,8.2943
51.08,27.65,8.2943
52.08,25.88,8.3945
53.08,25.59,8.3945
54.08,27.19,8.3945
55.08,27.27,8.3945
56.09,25.24,8.3945
57.09,25.73,8.3945
58.09,31.92,8.3945
59.09,25.98,8.3945
60.09,27.67,8.3945
61.09,26.21,8.3945
62.09,28.08,8.3945
63.1,27.39,8.3945
64.1,29.69,8.3945
65.1,25.24,8.3945
66.1,28.69,8.3945
67.1,27.56,8.3943
68.1,41.97,8.3943
69.1,29.92,8.3943
70.11,25.34,8.3943
71.11,25.45,8.3943
72.11,25.39,8.3943
73.11,26.44,8.3943
74.11,27.33,8.3943
75.11,39.72,8.3943
76.11,68.93,8.3946
77.12,66.41,8.3947
78.12,70.95,8.3953
79.12,69.62,8.3958
80.12,71.17,8.396
81.12,56.21,8.396
82.12,72.32,8.4298
83.12,80.88,8.8044
84.13,39.06,8.7893
85.13,30.04,8.7893
86.13,28.24,8.7893
87.13,26.46,8.7893
88.13,31.29,8.7893
89.13,26.84,8.7787
90.14,25.19,8.7787
91.14,25.38,8.7787
92.14,25.18,8.7787
93.14,25.25,8.7787
94.14,25.29,8.7787
95.14,25.19,8.7787
96.14,25.32,8.7787
97.15,25.17,8.7787
98.15,25.22,8.7787
99.15,25.33,8.7787
100.15,25.96,8.7787
101.15,26.66,8.7787
102.15,26.9,8.7787
103.15,51.97,8.7787
104.16,37.31,8.7621
105.16,25.15,8.7621
106.16,25.2,8.7621
107.16,25.34,8.7621
