Time_Sec,CPU_Percent_Total,Memory_GB
1.0,56.6,3.5482
2.0,66.87,3.7271
3.0,70.21,3.9727
4.01,67.84,4.0745
5.01,82.82,4.167
6.01,85.35,4.2793
7.01,80.66,4.4252
8.01,77.43,4.5496
9.01,72.48,4.7196
10.01,76.8,4.9089
11.02,59.52,4.9927
12.02,89.08,5.2003
13.02,83.7,5.3794
14.02,83.56,5.5337
15.02,40.85,4.9165
16.02,82.96,5.0827
17.02,88.82,5.2339
18.02,83.55,5.4051
19.03,57.38,4.9074
20.03,67.28,5.0208
21.03,80.74,5.3541
22.03,88.18,5.5339
23.03,88.62,5.8807
24.03,88.48,5.8827
25.04,82.76,6.0137
26.04,80.4,6.2518
27.04,77.2,6.46
28.04,77.71,6.6508
29.04,76.72,6.8588
30.04,76.7,7.0883
31.04,75.7,7.2117
32.05,75.68,7.4065
33.05,76.18,7.4999
34.05,75.78,7.6057
35.05,75.53,7.6953
36.05,70.17,7.9075
37.05,65.59,8.0437
38.06,32.51,8.1177
39.06,33.7,8.1931
40.06,27.66,8.2667
41.06,30.76,8.3446
42.06,43.25,8.4857
43.06,27.32,8.5421
44.06,36.07,8.6083
45.07,32.58,8.6759
46.07,55.46,8.7598
47.07,31.45,8.8822
48.07,29.39,8.9612
49.07,42.36,9.0856
50.07,33.97,9.1671
51.07,27.91,9.2107
52.08,27.86,9.2588
53.08,26.2,9.3525
54.08,27.05,9.3964
55.08,45.87,9.4636
56.08,29.33,9.5045
57.08,26.47,9.5685
58.09,25.74,9.6756
59.09,27.13,9.739
60.09,26.0,9.8484
61.09,36.03,9.9375
62.09,29.01,9.9805
63.09,25.93,10.0274
64.1,25.36,10.0833
65.1,25.39,10.1505
66.1,25.38,10.2013
67.1,36.18,10.3621
68.1,25.3,10.3622
69.1,26.57,10.4048
70.1,25.3,10.4624
71.11,32.6,10.463
72.11,28.16,10.463
73.11,26.6,10.463
74.11,25.79,10.463
75.11,26.25,10.463
76.11,30.71,10.463
77.12,26.62,10.463
78.12,26.25,10.463
79.12,25.31,10.463
80.12,26.58,10.463
81.12,25.18,10.463
82.12,30.78,10.463
83.12,25.79,10.463
84.13,27.75,10.463
85.13,26.06,10.463
86.13,28.45,10.463
87.13,25.76,10.463
88.13,40.53,10.463
89.13,29.07,10.463
90.13,25.33,10.463
91.14,25.92,10.463
92.14,25.31,10.463
93.14,25.36,10.463
94.14,25.19,10.463
95.14,25.26,10.463
96.14,35.69,10.463
97.15,25.23,10.463
98.15,63.75,10.4633
99.15,59.42,10.47
100.15,31.97,10.4701
101.15,26.35,10.4701
102.15,26.25,10.4701
103.16,27.15,10.4701
104.16,37.14,10.4892
105.16,25.7,10.4892
106.16,26.52,10.4892
107.16,28.12,10.4892
108.16,26.6,10.4892
109.16,25.17,10.4892
110.17,25.58,10.4892
111.17,25.83,10.4892
112.17,35.63,10.5513
113.17,26.31,10.5513
114.17,25.29,10.5513
115.17,28.18,10.5513
116.18,25.36,10.5513
117.18,25.25,10.5513
118.18,26.21,10.5513
119.18,26.34,10.5513
120.18,25.23,10.5513
121.18,34.76,10.5526
122.19,25.5,10.5526
123.19,25.32,10.5526
124.19,25.22,10.5526
125.19,25.93,10.5526
126.19,25.33,10.5526
127.19,25.24,10.5526
128.2,25.32,10.5526
129.2,30.54,10.6388
130.2,32.31,10.7353
131.2,25.44,10.7353
132.2,25.28,10.7353
133.2,27.95,10.7353
134.21,25.21,10.7353
135.21,25.28,10.7353
136.21,25.27,10.7353
137.21,25.26,10.7353
138.21,25.29,10.7977
139.21,25.63,11.3046
140.22,34.49,11.7553
141.22,27.35,11.7908
142.22,25.37,11.7908
143.22,25.35,11.7908
144.22,25.29,11.7908
145.22,25.22,11.7908
146.22,25.33,11.7908
147.23,25.22,11.7908
148.23,25.34,11.7908
149.23,25.22,11.7908
150.23,25.25,11.7908
151.23,25.72,11.7908
152.23,36.88,11.7913
153.23,25.22,11.7913
154.24,25.4,11.7913
155.24,25.23,11.7913
156.24,25.24,11.7913
157.24,25.33,11.7913
158.24,25.25,11.7913
159.24,25.24,11.7913
160.24,25.31,11.7913
161.25,25.2,11.7913
162.25,25.37,11.7913
163.25,35.08,11.794
164.25,25.23,11.7941
165.25,25.34,11.7941
166.25,25.25,11.7941
167.25,25.22,11.7941
168.26,25.72,11.7941
169.26,25.2,11.7941
170.26,25.35,11.7941
171.26,25.43,11.7941
172.26,25.28,11.7941
173.26,25.33,11.7941
174.27,34.76,11.7967
175.27,25.85,11.7967
176.27,25.27,11.7967
177.27,25.21,11.7967
178.27,25.36,11.7967
179.27,25.21,11.7967
180.28,25.23,11.7967
181.28,25.3,11.7967
182.28,25.32,11.7967
183.28,25.92,11.7967
184.28,25.3,11.7967
185.28,34.67,11.8003
186.28,25.34,11.8003
187.29,25.22,11.8003
188.29,25.26,11.8003
189.29,25.23,11.8003
190.29,25.29,11.8003
191.29,25.23,11.8003
192.29,25.21,11.8003
193.3,25.3,11.8003
194.3,25.2,11.8003
195.3,25.25,11.8003
196.3,34.61,11.8025
197.3,25.2,11.8025
198.3,25.35,11.8025
199.31,25.16,11.8025
200.31,25.23,11.8025
201.31,25.28,11.8025
202.31,25.21,11.8025
203.31,25.24,11.8025
204.31,25.22,11.8025
205.31,25.34,11.8025
206.32,25.34,11.8025
207.32,25.23,11.8025
208.32,36.89,11.8081
209.32,25.15,11.8081
210.32,25.14,11.8081
211.32,25.42,11.8081
212.33,25.32,11.8082
213.33,25.34,11.8082
214.33,25.24,11.8082
215.33,25.28,11.8082
216.33,25.41,11.8082
217.33,25.28,11.8082
218.34,25.41,11.8082
219.34,34.93,11.8101
220.34,25.35,11.8101
221.34,25.26,11.8101
222.34,25.31,11.8101
223.34,25.35,11.8101
224.35,25.24,11.8101
225.35,25.35,11.8101
226.35,25.26,11.8101
227.35,25.35,11.8101
228.35,25.25,11.8101
229.35,25.25,11.8101
230.36,36.9,11.8146
231.36,25.26,11.8146
232.36,25.48,11.8146
233.36,25.23,11.8146
234.36,25.24,11.8146
235.36,25.34,11.8146
236.37,25.26,11.8146
237.37,25.34,11.8146
238.37,25.23,11.8146
239.37,25.35,11.8146
240.37,27.15,11.8146
241.37,33.28,11.8174
242.38,25.4,11.8174
243.38,25.25,11.8174
244.38,25.34,11.8174
245.38,25.18,11.8174
246.38,25.31,11.8174
247.38,25.27,11.8174
248.39,25.24,11.8174
249.39,25.25,11.8174
250.39,25.15,11.8174
