Time_Sec,CPU_Percent_Total,Memory_GB
1.0,57.59,2.5092
2.0,64.2,2.7374
3.0,70.12,2.9568
4.01,72.01,3.0938
5.01,79.38,3.2102
6.01,83.06,3.3221
7.01,86.82,3.4287
8.01,75.36,3.5415
9.01,79.98,3.6972
10.01,87.77,3.8135
11.02,75.79,4.0347
12.02,73.34,4.1449
13.02,83.36,4.3907
14.02,78.26,4.1682
15.02,69.45,4.0198
16.02,79.9,4.3787
17.02,86.0,4.5195
18.03,88.82,4.748
19.03,81.8,5.0618
20.03,84.91,5.2439
21.03,78.7,5.4328
22.03,77.12,5.618
23.03,78.22,5.9026
24.03,77.56,6.1611
25.04,76.2,6.41
26.04,76.35,6.686
27.04,77.8,6.9522
28.04,77.27,7.1871
29.04,76.11,7.3873
30.04,79.23,7.6822
31.04,56.53,8.0096
32.05,74.36,8.2704
33.05,36.21,8.5118
34.05,28.43,8.7608
35.05,54.37,9.1843
36.05,44.57,9.2031
37.05,41.82,9.2222
38.05,33.43,9.2451
39.06,26.29,8.0315
40.06,44.87,4.0163
41.06,78.73,4.1773
42.06,78.86,4.2729
43.06,61.32,4.3672
44.06,55.52,3.9849
45.06,78.27,4.1629
46.07,89.48,4.2826
47.07,52.06,4.0144
48.07,86.2,4.177
49.07,91.63,4.3376
50.07,67.42,4.1049
51.07,81.08,4.2239
52.07,65.74,3.9818
53.07,73.57,4.1458
54.08,91.17,4.2688
55.08,68.29,4.0847
56.08,78.32,4.2058
57.08,90.5,4.3967
58.08,74.29,4.1283
59.09,86.32,4.2598
60.09,71.62,4.0185
61.09,86.42,4.3713
62.09,78.57,4.7977
63.09,85.58,4.9232
64.09,87.8,5.1026
65.09,82.16,5.2297
66.1,74.43,5.3643
67.1,79.33,5.5393
68.1,79.36,5.7299
69.1,77.12,5.8897
70.1,75.8,6.0525
71.1,76.15,6.2202
72.11,75.87,6.4254
73.11,71.38,6.6785
74.11,78.21,6.8949
75.11,75.92,7.2073
76.11,75.15,7.4227
77.11,76.15,7.7493
78.11,76.27,7.9562
79.12,76.02,8.193
80.12,75.41,8.4136
81.12,74.34,8.6138
82.12,70.77,8.8245
83.12,70.61,9.241
84.12,34.41,9.2934
85.13,36.93,9.2934
86.13,38.53,9.2935
87.13,46.28,9.2936
88.13,27.19,9.3938
89.13,34.17,9.3938
90.13,30.72,9.3939
91.14,40.58,9.3939
92.14,30.08,9.3939
93.14,32.27,9.3939
94.14,31.27,9.3939
95.14,26.69,9.3939
96.14,28.28,9.3939
97.15,27.22,9.3939
98.15,32.63,9.3939
99.15,25.4,9.3939
100.15,26.13,9.3939
101.15,26.07,9.3939
102.15,30.56,9.3939
103.15,26.49,9.3939
104.16,26.46,9.3939
105.16,25.88,9.3939
106.16,40.66,9.6435
107.16,38.51,9.9355
108.16,25.68,9.9357
109.16,25.76,9.9357
110.16,30.77,9.9357
111.17,33.99,9.9357
112.17,29.86,9.9357
113.17,58.58,9.936
114.17,40.21,3.9759
115.17,78.14,4.1968
