Time_Sec,CPU_Percent_Total,Memory_GB
1.0,58.97,1.6136
2.0,63.61,1.8459
3.0,68.2,2.0629
4.01,71.1,2.222
5.01,77.97,2.3408
6.01,85.38,2.3848
7.01,84.95,2.5034
8.01,79.0,2.6006
9.01,80.68,2.7424
10.01,89.38,2.9264
11.02,76.74,3.1086
12.02,81.06,3.2215
13.02,83.52,3.4639
14.02,82.22,3.6459
15.02,65.04,2.9514
16.02,86.0,3.2172
17.03,71.5,3.4824
18.03,84.51,3.6216
19.03,85.97,3.8968
20.03,80.84,4.1803
21.03,79.2,4.4168
22.03,79.32,4.6678
23.03,77.67,4.8858
24.04,77.06,5.1943
25.04,76.66,5.3984
26.04,76.92,5.5981
27.04,75.67,5.7597
28.04,75.92,5.9139
29.04,76.07,6.1243
30.04,75.43,6.3145
31.05,76.72,6.4268
32.05,75.83,6.5109
33.05,73.35,6.685
34.05,56.48,6.7989
35.05,64.13,6.9002
36.05,53.09,7.0022
37.06,50.79,7.1735
38.06,28.42,7.3155
39.06,40.03,7.4326
40.06,31.95,7.4968
41.06,34.9,7.6109
42.06,30.75,7.6889
43.07,37.12,7.7642
44.07,47.0,8.0884
45.07,47.95,8.0884
46.07,25.98,8.0884
47.07,39.93,8.0886
48.07,32.32,8.0895
49.07,29.17,8.0895
50.08,34.53,8.0895
51.08,40.73,8.0895
52.08,51.11,8.0896
53.08,30.85,8.0897
54.08,25.62,8.0897
55.08,31.7,8.0897
56.09,27.29,8.0897
57.09,26.72,8.0897
58.09,25.84,8.0897
59.09,25.54,8.0897
60.09,25.89,8.0897
61.09,27.42,8.0897
62.1,25.72,8.0897
63.1,26.78,8.0897
64.1,28.92,8.0897
65.1,26.85,8.0897
66.1,26.43,8.0897
67.1,25.36,8.0897
68.1,40.43,8.0894
69.11,25.41,8.0894
70.11,42.84,8.0894
71.11,26.72,8.0894
72.11,30.94,8.0894
73.11,25.35,8.1147
74.11,25.38,8.1807
75.12,25.42,8.1896
76.12,28.63,8.1896
77.12,57.59,8.1899
78.12,74.65,8.1943
79.12,34.3,8.1943
