Time_Sec,CPU_Percent_Total,Memory_GB
1.0,55.23,4.1262
2.0,64.24,4.3554
3.0,67.82,4.5829
4.01,74.58,4.7468
5.01,77.41,4.87
6.01,84.65,4.9836
7.01,85.71,5.1189
8.01,71.27,5.2146
9.01,67.44,5.3707
10.01,87.88,5.5673
11.01,51.93,5.6359
12.02,91.77,5.8191
13.02,85.0,5.9328
14.02,88.41,6.1119
15.02,82.44,6.373
16.02,78.02,6.6524
17.02,45.44,5.5982
18.03,72.04,5.7521
19.03,82.08,6.0492
20.03,88.91,6.3935
21.03,89.26,6.5647
22.03,88.86,6.5764
23.03,83.6,6.75
24.03,79.87,6.9964
25.03,78.97,7.345
26.04,78.7,7.6805
27.04,77.33,8.0346
28.04,77.83,8.3747
29.04,77.75,8.6496
30.04,76.71,8.8767
31.04,79.3,9.1647
32.04,74.04,9.4181
33.05,80.18,9.6706
34.05,76.99,9.9824
35.05,79.37,10.4193
36.05,75.52,10.729
37.05,79.69,11.1248
38.05,75.97,11.2192
39.05,76.34,11.2194
40.06,75.54,11.2197
41.06,75.23,11.2198
42.06,75.67,11.2202
43.06,78.7,11.221
44.06,52.45,7.2314
45.06,45.3,5.6292
46.07,87.68,5.8963
47.07,79.71,5.9088
48.07,82.01,6.1385
49.07,39.45,5.6108
50.07,81.87,5.7831
51.07,87.13,5.9035
52.07,81.39,5.992
53.07,58.36,5.5918
54.08,74.19,5.7624
55.08,89.65,5.901
56.08,78.16,6.0774
57.08,75.91,5.5677
58.08,57.75,5.6694
59.08,90.67,5.8843
60.08,85.83,5.9498
61.08,84.21,6.1765
62.09,41.62,5.6146
63.09,82.66,5.7891
64.09,91.08,5.9038
65.09,87.41,6.1228
66.09,59.91,5.5758
67.09,64.82,5.721
68.09,85.22,5.9217
69.09,88.43,5.9414
70.1,79.1,6.1084
71.1,83.57,6.3725
72.1,41.13,5.6128
73.1,83.36,5.7883
74.1,86.52,5.9021
75.1,81.96,5.9475
76.1,81.81,6.1791
77.11,67.95,5.5749
78.11,51.63,5.6563
79.11,85.7,5.9814
80.11,76.05,6.3176
81.11,82.65,6.7466
82.11,90.92,6.9994
83.11,91.21,7.003
84.11,82.67,7.005
85.12,76.07,7.0056
86.12,78.34,7.2098
87.12,78.22,7.4188
88.12,75.28,7.6163
89.12,75.78,7.8407
90.12,66.42,8.1101
91.12,78.95,8.3785
92.13,76.62,8.7049
93.13,75.91,8.9728
94.13,76.22,9.277
95.13,77.42,9.5206
96.13,75.61,9.7876
97.13,76.39,10.0001
98.14,73.11,10.2281
99.14,56.27,10.3963
100.14,54.57,10.5713
101.14,60.33,10.7611
102.14,34.15,10.9552
103.14,41.57,11.1424
104.14,36.98,11.3008
105.15,27.45,11.3617
106.15,32.81,11.3617
107.15,34.7,11.3617
108.15,55.65,11.3617
109.15,63.43,11.3617
110.15,69.07,11.3617
111.16,44.67,11.3617
112.16,26.08,11.3617
113.16,29.37,11.3617
114.16,27.15,11.3617
115.16,28.35,11.3617
116.17,25.74,11.3617
117.17,29.28,11.3617
118.17,28.21,11.3617
119.17,25.97,11.3617
120.17,31.89,11.3617
121.18,25.72,11.3617
122.18,25.24,11.3617
123.18,25.53,11.3617
124.18,25.58,11.3617
125.19,25.17,11.3617
126.19,26.71,11.3617
127.19,42.84,11.463
128.19,25.85,11.463
129.19,34.99,11.463
130.19,30.46,11.4631
131.2,45.1,11.4635
132.2,78.72,11.4752
133.2,75.42,11.491
134.2,79.52,11.495
135.2,76.39,11.4954
136.2,77.87,11.4966
137.21,67.89,11.4969
138.21,55.0,11.4969
139.21,64.13,11.4972
140.21,35.66,11.4973
141.21,37.86,11.4973
142.21,28.7,11.4911
143.21,28.25,11.4911
144.22,28.16,11.4911
145.22,56.55,12.0465
146.22,42.37,12.0465
147.22,41.42,12.0466
148.22,27.82,12.0466
149.22,25.93,12.0466
150.23,27.03,12.0466
151.23,27.8,12.0467
152.23,25.48,12.0467
153.23,25.53,12.0467
154.23,25.32,12.0467
155.23,25.81,12.0467
156.23,28.39,12.0467
157.24,28.69,12.0467
158.24,25.27,12.0467
159.24,25.46,12.0467
160.24,25.25,12.0467
161.24,26.64,12.0467
162.24,25.29,12.0467
163.25,37.31,12.047
164.25,53.27,12.5287
165.25,25.58,12.5287
166.25,25.35,12.5287
167.25,25.27,12.5287
168.25,25.41,12.5287
169.26,25.24,12.5287
170.26,25.4,12.5287
171.26,25.9,12.5287
172.26,25.27,12.5287
173.26,49.99,12.5292
174.26,33.36,5.5926
175.27,59.42,5.6854
