Time_Sec,CPU_Percent_Total,Memory_GB
1.0,57.98,3.5793
2.0,64.41,3.8148
3.0,67.13,4.0325
4.01,69.72,4.1773
5.01,79.8,4.2843
6.01,84.31,4.4196
7.01,86.2,4.5869
8.01,79.88,4.6994
9.01,72.38,4.8493
10.01,79.93,5.0384
11.01,55.65,5.1155
12.02,87.76,5.3313
13.02,84.69,5.4411
14.02,83.43,4.9322
15.02,43.83,5.0679
16.02,85.55,5.2505
17.02,86.18,5.3844
18.02,83.34,5.5652
19.03,58.26,5.0559
20.03,79.75,5.3308
21.03,83.51,5.6418
22.03,89.34,6.0172
23.03,89.08,6.0214
24.03,83.75,6.1879
25.03,80.1,6.4466
26.03,76.95,6.6849
27.04,79.78,6.8829
28.04,77.39,7.2056
29.04,77.15,7.3907
30.04,76.02,7.6145
31.04,77.11,7.8211
32.04,76.28,8.0354
33.04,76.27,8.2861
34.05,74.82,8.4138
35.05,57.67,8.5246
36.05,65.06,8.709
37.05,45.74,8.8114
38.05,51.4,8.9109
39.06,62.06,9.0384
40.06,47.78,9.1978
41.06,43.1,9.3541
42.07,29.06,9.4519
43.07,31.94,9.5338
44.07,28.6,9.6352
45.07,42.08,9.7181
46.07,30.53,9.7889
47.07,27.32,9.9174
48.08,27.28,10.0121
49.08,31.8,10.1756
50.08,46.67,10.2407
51.08,26.44,10.3152
52.08,37.83,10.4925
53.08,25.71,10.4925
54.09,38.36,10.5715
55.09,51.76,10.5927
56.09,56.08,10.5927
57.09,38.65,10.5937
58.09,27.83,10.5937
59.09,27.3,10.5937
60.1,32.83,10.5937
61.1,28.48,10.5937
62.1,27.26,10.5937
63.1,25.42,10.5937
64.1,25.67,10.5937
65.1,46.08,10.5937
66.11,52.76,10.5937
67.11,50.73,10.5937
68.11,63.84,10.5935
69.11,51.09,10.5935
70.11,38.46,10.5935
71.11,25.61,10.5935
72.12,25.28,10.5935
73.12,26.31,10.5935
74.12,25.25,10.5935
75.12,25.37,10.5935
76.12,35.69,10.5935
77.12,51.94,10.594
78.12,65.46,10.5947
79.13,73.46,10.5959
80.13,62.88,10.5961
81.13,78.57,10.5995
82.13,43.32,10.596
83.13,27.46,10.596
84.13,44.24,10.7041
85.14,26.04,10.7041
86.14,26.47,10.7041
87.14,26.74,10.7041
88.14,27.56,10.7043
89.14,25.34,10.7043
90.14,25.9,10.7043
91.15,27.33,10.7043
92.15,28.7,10.7043
93.15,40.91,10.8561
94.15,25.4,10.8561
95.15,25.25,10.8561
96.15,25.39,10.8561
97.16,25.25,10.8561
98.16,25.35,10.8561
99.16,25.2,10.8561
100.16,28.2,10.8561
101.16,37.32,10.8578
102.16,25.38,10.8578
103.16,26.23,10.8578
104.16,25.3,10.8578
105.17,25.24,10.8578
106.17,27.12,10.8578
107.17,25.24,10.8579
108.17,26.85,10.8579
109.17,40.99,11.1292
110.17,25.19,11.1292
111.18,25.26,11.1292
112.18,25.19,11.1292
113.18,25.75,11.1292
114.18,25.41,11.1292
115.18,25.52,11.1292
116.19,25.32,11.1292
117.19,25.89,11.5929
118.19,39.69,11.8032
119.19,25.27,11.8032
120.19,25.18,11.8032
121.19,25.29,11.8033
122.2,25.22,11.8033
123.2,25.43,11.8032
124.2,25.25,11.8033
125.2,25.35,11.8033
126.2,25.35,11.8034
127.2,25.26,11.8034
128.2,25.4,11.8034
129.21,38.51,11.8195
130.21,25.25,11.8195
131.21,25.35,11.8195
132.21,25.26,11.8195
133.21,25.32,11.8195
134.21,25.23,11.8195
135.22,25.33,11.8195
136.22,25.25,11.8195
137.22,25.69,11.8195
138.22,25.4,11.8195
139.22,25.24,11.8195
140.22,38.94,11.8201
141.23,25.54,11.8201
142.23,25.23,11.8201
143.23,25.47,11.8201
144.23,25.24,11.8201
145.23,25.24,11.8201
146.23,25.62,11.8201
147.23,25.25,11.8201
148.24,25.3,11.8201
149.24,25.35,11.8201
150.24,25.25,11.8201
151.24,32.59,11.8201
152.24,31.27,11.8208
153.24,25.3,11.8208
154.24,25.28,11.8208
155.25,25.35,11.8209
156.25,25.26,11.8209
157.25,25.34,11.8209
158.25,25.31,11.8209
159.25,25.34,11.8209
160.25,25.23,11.8209
161.25,25.29,11.8209
162.26,41.75,11.8209
163.26,25.2,11.8209
164.26,25.16,11.8209
165.26,25.26,11.8209
166.26,25.18,11.8209
167.26,25.75,11.8209
168.27,25.27,11.8209
169.27,25.36,11.8209
170.27,25.31,11.8209
171.27,25.38,11.8209
172.27,38.62,11.8274
173.27,25.32,11.8274
174.28,25.37,11.8274
