Time_Sec,CPU_Percent_Total,Memory_GB
1.0,59.35,3.6561
2.0,63.12,3.8872
3.0,69.75,4.1266
4.01,70.4,4.251
5.01,81.19,4.3511
6.01,85.13,4.4581
7.01,85.61,4.6082
8.01,76.45,4.7074
9.01,64.64,4.7832
10.01,76.62,4.9666
11.01,70.57,5.1381
12.02,67.91,5.2489
13.02,89.06,5.4639
14.02,87.48,5.5467
15.02,78.37,5.4771
16.02,45.48,5.1427
17.02,82.37,5.3139
18.02,88.75,5.4574
19.03,85.79,5.697
20.03,62.15,5.1201
21.03,58.93,5.205
22.03,81.76,5.5435
23.03,84.83,5.7681
24.03,88.41,6.1216
25.03,87.59,6.1138
26.04,87.15,6.1202
27.04,81.06,6.3183
28.04,78.85,6.5461
29.04,77.5,6.8988
30.04,77.41,7.2119
31.04,78.51,7.5476
32.04,76.85,7.8511
33.05,76.2,8.118
34.05,79.27,8.3179
35.05,76.42,8.587
36.05,80.11,8.7764
37.05,49.62,5.0175
38.05,43.3,5.1532
39.05,85.38,5.4672
40.06,85.32,5.7789
41.06,89.4,6.106
42.06,87.92,6.1103
43.06,85.8,6.1567
44.06,80.29,6.3495
45.06,79.4,6.5402
46.07,77.85,6.8518
47.07,77.37,7.1868
48.07,78.96,7.5232
49.07,76.68,7.8308
50.07,76.89,8.1043
51.07,79.18,8.3229
52.07,77.6,8.6039
53.08,76.06,8.8366
54.08,41.99,5.1038
55.08,50.13,5.1802
56.08,86.93,5.4126
57.08,81.21,5.4546
58.08,42.11,5.1496
59.08,84.45,5.3368
60.09,83.07,5.4536
61.09,50.44,5.1357
62.2,74.49,5.3031
63.2,86.15,5.4331
64.2,55.43,5.1227
65.21,60.16,5.2096
66.21,82.3,5.4318
67.21,80.48,5.0358
68.21,44.63,5.1575
69.21,88.73,5.3278
70.21,87.74,5.5367
71.21,56.4,5.127
72.22,66.78,5.2425
73.22,86.14,5.4325
74.22,74.31,5.1036
75.22,49.5,5.1768
76.22,87.86,5.3858
77.22,91.62,5.4514
78.22,55.42,5.1245
79.23,61.65,5.2191
80.23,86.83,5.4246
81.23,84.08,5.4534
82.26,41.07,5.1481
83.26,81.23,5.3133
84.26,89.82,5.4297
85.26,81.35,5.511
86.26,40.94,5.1478
87.26,81.04,5.315
88.26,89.99,5.4306
89.27,63.53,5.1068
90.27,50.95,5.1837
91.27,88.82,5.3645
92.27,88.12,5.4731
93.27,85.23,5.5354
94.27,43.45,5.1478
95.27,82.81,5.3333
96.27,89.68,5.5312
97.28,88.9,5.6855
98.28,46.18,5.142
99.28,76.12,5.3051
100.28,87.37,5.4317
101.28,86.38,5.4637
102.28,41.13,5.1527
103.28,83.54,5.328
104.29,87.16,5.4392
105.29,82.67,5.5279
106.29,41.17,5.1499
107.29,81.18,5.3568
108.29,77.02,5.6876
109.29,79.32,5.9852
110.29,83.6,6.4006
111.29,93.12,6.5159
112.3,87.15,6.5283
113.3,78.97,6.5294
114.3,78.72,6.5347
115.3,77.73,6.5409
116.3,77.24,6.6967
117.3,77.84,6.8909
118.31,76.83,7.0774
119.31,77.21,7.2625
120.31,72.15,7.546
121.31,76.69,7.7394
122.31,76.46,8.0212
123.31,75.29,8.3189
124.32,76.23,8.605
125.32,75.91,8.8738
126.32,76.27,9.1143
127.32,75.8,9.3654
128.32,75.51,9.5901
129.32,77.83,9.8183
130.32,68.37,9.9972
131.33,68.38,10.1767
132.33,56.43,10.4062
133.33,52.0,10.6987
134.33,34.35,10.799
135.33,35.64,10.799
136.33,32.88,10.7932
137.34,32.74,10.7932
138.34,34.01,10.8934
139.34,45.22,10.8934
140.34,51.8,10.8934
141.34,42.51,10.8936
142.34,26.31,10.8936
143.35,32.05,10.8936
144.35,29.23,10.8936
145.35,32.43,10.8936
146.35,26.18,10.8936
147.35,27.23,10.8936
148.35,29.97,10.8936
149.36,35.73,10.8936
150.36,25.56,10.8936
151.36,25.43,10.8937
152.36,29.9,10.8937
153.36,25.29,10.8937
154.36,25.78,10.8937
155.37,26.71,10.8937
156.37,47.2,10.9933
157.37,27.67,10.9933
158.37,33.47,10.9933
159.37,31.91,10.9933
160.37,77.95,11.005
161.37,39.25,5.1215
162.38,55.54,5.2066
163.38,81.62,5.5189
164.38,78.3,5.9286
165.38,81.2,6.3133
166.38,93.51,6.5205
167.38,87.56,6.5256
168.38,77.69,6.5274
169.39,79.6,6.5468
170.39,75.59,6.7596
171.39,77.38,6.9456
172.39,77.53,7.1428
173.39,75.23,7.3742
174.39,75.07,7.6364
175.39,79.65,7.8912
176.4,76.39,8.2062
177.4,68.37,8.4455
178.4,76.1,8.7773
179.4,76.43,9.0132
180.4,77.2,9.2651
181.4,76.32,9.4835
182.41,74.53,9.702
183.41,55.66,9.8995
184.41,56.41,10.0821
185.41,42.8,10.2848
186.41,38.78,10.5259
187.41,47.56,10.7809
188.42,33.15,10.7843
189.42,38.88,10.7843
190.42,33.13,10.7843
191.42,35.23,10.7843
192.42,52.3,10.8843
193.42,41.89,10.8845
194.43,27.66,10.8845
195.43,27.06,10.8845
196.43,31.1,10.8845
197.43,27.48,10.8845
198.43,25.99,10.8845
199.43,26.7,10.8845
200.43,28.27,10.8845
201.44,26.09,10.8845
202.44,31.96,10.8845
203.44,26.41,10.8845
204.44,25.87,10.8845
205.44,27.07,10.8845
206.45,26.01,10.8845
207.45,26.29,10.8845
208.45,44.43,10.983
209.45,32.42,10.983
210.45,33.65,10.983
211.45,26.59,10.983
212.45,45.12,10.983
213.46,65.66,7.7731
214.46,41.22,5.1545
215.46,84.17,5.4733
216.46,76.36,5.9444
217.46,83.94,6.3256
218.46,95.13,6.5042
219.46,86.86,6.5149
220.47,81.36,6.5221
221.47,80.18,6.5304
222.47,77.87,6.711
223.47,77.3,6.9113
224.47,75.11,7.1069
225.47,69.39,7.3804
226.47,71.96,7.6147
227.48,76.19,7.92
228.48,75.23,8.2067
229.48,76.11,8.5253
230.48,78.97,8.7714
231.48,76.56,9.0198
232.48,76.73,9.2775
233.49,73.21,9.4856
234.49,66.66,9.7161
235.49,45.65,9.8982
236.49,40.99,10.0776
237.49,48.56,10.3307
238.49,43.01,10.5327
239.49,49.67,10.7358
240.5,29.46,10.7956
241.5,31.6,10.7956
242.5,31.19,10.7956
243.5,35.07,10.7956
244.5,40.19,10.8957
245.51,52.68,10.8957
246.51,51.28,10.8957
247.51,45.66,10.8957
248.51,31.44,10.8957
249.51,27.09,10.8957
250.51,30.17,10.8957
251.51,31.72,10.8957
252.52,32.09,10.8957
253.52,27.73,10.8957
254.52,30.81,10.8957
255.52,31.52,10.8957
256.52,46.05,10.8957
257.52,36.91,10.8957
258.53,27.18,10.8957
259.53,25.35,10.8957
260.53,25.75,10.8957
261.53,26.4,10.8957
262.53,47.43,10.9945
263.53,26.69,10.9945
264.54,34.29,10.9947
265.54,29.91,10.9947
266.54,51.68,10.9948
267.54,71.9,11.0022
268.54,27.72,11.0022
269.54,26.38,11.0022
270.55,25.42,11.0022
271.55,25.68,11.0022
272.55,25.68,11.0022
273.55,25.53,11.0022
274.55,25.34,11.0022
275.55,41.24,11.2436
276.56,26.31,11.2436
277.56,25.3,11.2436
278.56,30.16,11.2436
279.56,27.78,11.2436
280.56,25.39,11.2436
281.56,25.92,11.2436
282.57,25.84,11.2436
283.57,25.34,11.2436
284.57,25.63,11.2436
285.58,26.21,11.2436
286.58,40.93,11.2853
287.58,25.31,11.2853
288.58,25.58,11.2853
289.59,25.6,11.2853
290.59,25.25,11.2853
291.59,26.41,11.2853
292.59,25.41,11.2853
293.59,26.73,11.2853
294.59,25.25,11.2853
295.6,25.4,11.2853
296.6,43.88,11.6106
297.6,25.36,11.6106
298.6,25.85,11.6106
299.6,25.38,11.6106
300.6,25.34,11.6106
301.61,25.29,11.6106
302.61,25.37,11.6106
303.61,25.24,11.6106
304.61,25.66,11.6106
305.61,25.35,11.6106
306.61,26.32,11.6216
307.61,44.37,12.0553
308.62,32.1,12.0555
309.62,25.67,12.0555
310.62,25.59,12.0555
311.62,25.36,12.0555
312.62,25.38,12.0555
313.62,25.32,12.0555
314.63,26.12,12.0555
315.63,25.27,12.0555
316.63,25.27,12.0555
317.63,25.27,12.0555
318.63,38.36,12.0555
319.63,25.22,12.0555
320.63,25.45,12.0555
321.64,25.36,12.0555
322.64,25.48,12.0555
323.64,25.26,12.0555
324.64,26.37,12.0555
325.64,25.31,12.0556
326.64,25.63,12.0556
327.65,25.24,12.0556
328.65,25.35,12.0556
329.65,25.95,12.0562
330.65,38.35,12.0563
331.65,25.3,12.0563
332.65,25.26,12.0563
333.66,25.32,12.0563
334.66,25.24,12.0563
335.66,25.25,12.0563
336.66,25.38,12.0563
337.66,25.38,12.0563
338.66,25.34,12.0563
339.67,25.24,12.0563
340.67,25.34,12.0563
341.67,38.22,12.0566
342.67,25.29,12.0566
343.67,25.33,12.0566
344.67,25.24,12.0566
345.67,26.68,12.0566
346.68,25.25,12.0566
347.68,25.2,12.0566
348.68,25.32,12.0566
349.68,25.25,12.0566
350.68,25.35,12.0566
351.69,25.26,12.0566
352.69,40.1,12.0566
353.69,25.12,12.0566
354.69,25.19,12.0566
355.69,25.34,12.0566
356.69,25.25,12.0566
357.7,25.34,12.0566
358.7,25.24,12.0566
359.7,25.24,12.0566
360.7,26.22,12.0566
361.7,25.25,12.0566
362.7,27.51,12.0568
363.7,39.32,12.0568
364.71,25.14,12.0568
365.71,25.32,12.0568
366.71,25.25,12.0568
367.71,25.42,12.0568
368.71,25.24,12.0568
369.71,25.24,12.0568
370.72,25.33,12.0568
371.72,25.25,12.0568
372.72,25.52,12.0568
373.72,38.01,12.0568
374.72,25.24,12.0568
375.72,25.35,12.0568
376.73,25.26,12.0568
377.73,25.35,12.0568
378.73,25.24,12.0568
379.73,25.35,12.0568
380.73,25.25,12.0568
381.73,25.25,12.0568
382.74,25.53,12.0568
383.74,37.19,12.0568
384.74,26.57,12.0568
385.74,25.26,12.0568
386.74,25.34,12.0568
387.74,25.26,12.0568
388.75,25.35,12.0568
389.75,25.17,12.0568
390.75,25.33,12.0568
391.75,25.55,12.0568
392.75,25.37,12.0568
393.75,25.35,12.0568
394.75,38.3,12.0568
395.76,25.23,12.0568
396.76,25.24,12.0568
397.76,25.37,12.0568
398.76,25.25,12.0568
399.76,25.35,12.0568
400.76,25.24,12.0568
401.77,25.26,12.0568
402.77,25.37,12.0568
403.77,25.23,12.0568
404.77,25.34,12.0568
405.77,38.11,12.0568
406.77,25.39,12.0568
407.78,25.3,12.0568
408.78,25.24,12.0568
409.78,25.35,12.0568
410.78,25.24,12.0568
411.78,25.26,12.0568
412.78,25.37,12.0568
413.79,25.35,12.0568
414.79,25.35,12.0568
415.79,25.22,12.0568
416.79,42.68,12.1938
417.79,25.33,12.1938
418.79,25.38,12.1938
419.8,25.33,12.1938
420.8,25.23,12.1938
421.8,25.86,12.1938
422.8,25.4,12.1938
423.8,25.23,12.1938
424.8,25.24,12.1938
425.8,25.34,12.1938
426.81,25.27,12.1938
427.81,40.67,12.3763
428.81,25.27,12.3763
429.81,25.24,12.3764
430.81,25.35,12.3764
431.81,25.26,12.3764
432.81,25.2,12.3764
433.81,25.35,12.3764
434.82,25.25,12.3764
435.82,25.24,12.3764
436.82,25.38,12.3764
437.82,25.16,12.3764
438.82,25.21,12.3764
439.82,28.82,12.4327
440.82,26.36,12.4589
441.83,25.25,12.4589
442.83,25.39,12.4589
443.83,25.24,12.4589
444.83,25.33,12.4589
445.83,25.23,12.4589
446.83,25.23,12.4589
447.84,25.32,12.4589
448.84,25.24,12.4589
449.84,25.35,12.4589
450.84,25.24,12.4589
451.84,25.25,12.4589
452.84,26.07,12.4591
453.85,25.39,12.4591
454.85,25.35,12.4591
455.85,25.24,12.4591
456.85,25.26,12.4591
457.85,25.37,12.4591
458.85,26.13,12.4601
459.85,26.04,12.4601
460.86,25.23,12.4601
461.86,25.25,12.4592
462.86,25.4,12.4591
463.86,25.18,12.4591
464.86,25.17,12.4591
465.86,25.4,12.4595
466.86,25.2,12.4595
467.87,25.23,12.4595
468.87,25.16,12.4595
469.87,25.34,12.4595
470.87,25.93,12.4598
471.87,25.23,12.4598
472.87,25.2,12.4598
473.88,25.24,12.4598
474.88,25.14,12.4598
475.88,25.25,12.4598
476.88,25.15,12.4598
477.88,25.24,12.4598
478.88,25.15,12.4598
479.89,25.39,12.4598
480.89,25.25,12.4598
481.89,25.17,12.4598
482.89,25.43,12.4598
483.89,25.24,12.4598
484.9,25.33,12.4598
485.9,25.16,12.4598
486.9,25.16,12.4598
487.9,25.33,12.4598
488.9,25.25,12.4598
489.9,25.35,12.4598
490.9,25.23,12.4598
491.91,25.4,12.46
492.91,25.33,12.46
493.91,25.14,12.46
494.91,32.43,5.0666
495.91,43.6,5.1652
496.91,84.17,5.4333
497.91,77.24,5.7953
498.92,85.3,6.2782
499.92,90.24,6.5318
500.92,90.79,6.5321
501.92,79.15,6.5374
502.92,79.71,6.5385
503.92,79.08,6.6762
504.93,77.69,6.8839
505.93,78.18,7.1028
506.93,76.65,7.3092
507.93,72.85,7.5757
508.93,77.73,7.8087
509.93,76.51,8.1452
510.93,71.94,8.4043
511.94,76.93,8.7365
512.94,78.98,8.9597
513.94,76.05,9.2274
514.94,61.19,9.4651
515.94,50.69,9.6852
516.94,49.84,9.8943
517.95,44.97,10.0713
518.95,42.28,10.2755
519.95,42.26,10.5192
520.95,58.27,10.7938
521.95,27.84,10.8657
522.95,35.71,10.894
523.96,31.26,10.894
524.96,34.75,10.894
525.96,34.45,10.8881
526.96,33.33,10.8881
527.96,34.41,10.8881
528.96,39.99,10.8883
529.97,38.11,10.8883
530.97,30.51,10.8883
531.97,27.36,10.8883
532.97,28.91,10.8883
533.97,27.42,10.8883
534.97,38.79,10.8883
535.97,25.83,10.8883
536.98,28.91,10.8883
537.98,26.51,10.8883
538.98,31.29,10.8883
539.98,25.59,10.8883
540.98,25.35,10.8883
541.98,25.48,10.8883
542.99,41.21,10.8883
543.99,25.36,10.8885
544.99,45.94,10.9868
545.99,26.69,10.9868
546.99,32.77,10.9868
547.99,29.58,10.9868
549.0,60.08,10.9869
550.0,70.66,10.9964
551.0,27.42,10.9967
552.0,26.15,10.9967
553.0,25.44,10.9967
554.0,25.51,10.9967
555.01,25.49,10.9967
556.01,25.74,10.9967
557.01,25.33,10.9967
558.01,42.08,11.2398
559.01,25.43,11.2398
560.01,28.03,11.2398
561.02,25.45,11.2398
562.02,26.1,11.2399
563.02,25.72,11.2399
564.02,25.59,11.2399
565.02,25.74,11.2399
