Time_Sec,CPU_Percent_Total,Memory_GB
1.0,54.32,1.4767
2.0,62.97,1.6815
3.01,57.43,1.841
4.01,78.36,2.0801
5.01,63.16,2.1388
6.01,81.19,2.2114
7.01,80.28,2.3161
8.01,86.1,2.4138
9.01,75.56,2.5351
10.02,76.09,2.6276
11.02,52.86,2.754
12.02,84.04,2.866
13.02,81.28,3.0546
14.02,76.26,3.1857
15.02,84.29,3.4132
16.02,85.26,3.5909
17.03,58.91,3.015
18.03,82.54,3.3262
19.03,80.46,3.551
20.03,93.08,3.738
21.03,78.62,4.0506
22.03,81.96,4.3977
23.03,78.04,4.7231
24.04,78.39,5.0192
25.04,78.05,5.3733
26.04,76.89,5.6453
27.04,77.34,5.8791
28.04,75.67,6.0953
29.04,75.84,6.365
30.05,75.22,6.4927
31.05,77.66,6.6105
32.05,59.78,6.7989
33.05,52.06,6.9285
34.05,44.37,7.0243
35.05,55.44,7.21
36.06,34.98,7.3931
37.06,34.26,7.5161
38.06,36.76,7.6056
39.06,27.68,7.7188
40.06,41.63,7.8079
41.06,48.15,8.1305
42.06,28.34,8.1816
43.07,44.17,8.1816
44.07,46.05,8.1817
45.07,28.3,8.1817
46.07,25.72,8.2536
47.07,27.3,8.2819
48.07,45.14,8.2819
49.08,28.8,8.2819
50.08,45.88,8.2819
51.08,26.65,8.2819
52.08,29.95,8.2819
53.08,26.36,8.2819
54.08,26.05,8.2819
55.09,28.31,8.2819
56.09,42.23,8.2819
57.09,38.71,8.2819
58.09,37.07,8.2819
59.09,29.73,8.2819
60.09,25.27,8.282
61.09,25.75,8.282
62.1,25.68,8.282
63.1,31.84,8.282
64.1,64.33,8.2824
65.1,60.08,8.2824
66.1,41.89,8.2824
67.1,29.31,8.2824
68.1,40.84,8.5994
69.11,26.15,8.599
70.11,26.22,8.599
71.11,25.62,8.599
72.11,25.64,8.599
73.11,30.03,8.599
74.11,26.87,8.599
75.12,31.09,8.5992
76.12,35.92,8.6137
77.12,25.21,8.6137
78.12,25.21,8.6137
79.12,25.28,8.6137
80.12,25.69,8.6137
81.12,25.84,8.6137
82.13,25.22,8.6137
83.13,37.01,8.6142
84.13,25.32,8.6142
85.13,25.21,8.6143
86.13,25.33,8.6143
87.13,25.24,8.6143
88.14,25.27,8.6143
89.14,25.33,8.6143
90.14,25.21,8.6144
91.14,38.78,8.6143
92.14,25.39,8.6143
93.14,25.3,8.6144
94.14,25.25,8.6143
95.14,25.32,8.6142
96.15,25.39,8.6142
97.15,25.22,8.6143
98.15,38.94,8.8777
99.15,25.39,8.8777
100.15,25.15,8.8777
101.15,25.29,8.8777
102.15,25.2,8.8778
103.16,25.19,8.8778
104.16,25.27,8.8777
105.16,25.31,8.8777
106.16,25.15,9.4163
107.16,51.12,9.7425
108.16,25.19,9.7425
109.16,25.27,9.7425
110.17,25.19,9.7424
111.17,25.3,9.7424
112.17,25.24,9.7425
113.17,25.25,9.7425
114.17,25.34,9.7426
115.17,25.22,9.7426
116.17,25.16,9.7424
117.18,25.42,9.7426
118.18,25.18,9.7426
119.18,25.15,9.7427
120.18,25.27,9.7426
121.18,25.99,9.7426
122.18,25.18,9.7426
123.18,25.35,9.7427
124.19,25.18,9.7427
125.19,25.22,9.7427
126.19,25.35,9.7427
127.19,25.17,9.7427
128.19,25.26,9.7427
129.19,25.21,9.7427
130.2,25.25,9.7427
131.2,25.15,9.7427
132.2,36.14,9.7427
133.2,28.36,9.7428
134.2,25.19,9.7428
135.2,25.28,9.7428
136.21,25.19,9.7428
137.21,25.19,9.7427
138.21,25.35,9.7429
139.21,25.19,9.7429
140.21,25.23,9.7427
141.21,25.3,9.7429
142.21,25.22,9.7426
143.22,25.24,9.7427
144.22,25.29,9.7426
145.22,25.21,9.7426
146.22,25.31,9.7428
147.22,25.23,9.7428
148.22,25.58,9.7427
149.22,25.32,9.7428
150.23,25.22,9.7428
151.23,25.31,9.7428
152.23,25.28,9.7429
153.23,25.27,9.7429
154.23,25.32,9.7428
155.23,25.25,9.7429
156.24,25.32,9.7428
157.24,25.24,9.7428
158.24,25.21,9.7428
159.24,25.32,9.7427
160.24,25.2,9.7428
161.24,25.31,9.7428
162.25,25.23,9.7428
163.25,25.36,9.7427
164.25,25.21,9.7428
165.25,25.21,9.7429
166.25,25.3,9.7429
167.25,25.19,9.7429
168.26,25.22,9.7428
169.26,25.35,9.7429
170.26,25.22,9.7428
171.26,25.38,9.7428
172.26,25.33,9.7428
173.26,25.29,9.7428
174.26,25.36,9.7428
175.27,25.22,9.7428
176.27,25.22,9.7428
177.27,25.57,9.7429
178.27,25.22,9.7429
179.27,25.26,9.7429
180.27,25.31,9.7429
181.27,25.21,9.7429
182.28,25.36,9.7429
183.28,25.23,9.7429
184.28,25.19,9.7429
185.28,25.36,9.7428
186.28,25.15,9.7428
187.28,25.33,9.7427
188.29,25.24,9.7428
189.29,25.32,9.7429
190.29,25.35,9.743
191.29,25.21,9.7429
192.29,25.17,9.743
193.29,25.35,9.7429
194.29,25.24,9.7429
195.3,25.23,9.7429
196.3,25.31,9.7427
197.3,25.17,9.7427
198.3,25.34,9.7427
199.3,25.19,9.7427
200.3,25.21,9.7427
201.3,25.31,9.7427
202.31,25.28,9.7428
203.31,25.32,9.7429
204.31,25.16,9.7429
205.31,25.33,9.7429
206.31,25.22,9.7429
207.32,25.18,9.7429
208.32,25.32,9.7428
209.32,25.23,9.7429
210.32,25.21,9.7429
211.32,25.32,9.743
212.32,25.37,9.743
213.32,25.35,9.743
214.33,25.21,9.7427
215.33,25.24,9.7427
216.33,25.32,9.7429
217.33,25.26,9.743
218.33,25.23,9.7429
219.33,25.33,9.7428
220.33,25.22,9.7429
221.34,25.31,9.7428
222.34,25.22,9.7428
223.34,25.25,9.7428
224.34,25.31,9.7428
225.34,25.22,9.7428
226.34,25.33,9.7428
227.35,25.17,9.7429
228.35,25.22,9.7428
229.35,25.32,9.7428
230.35,25.22,9.7429
231.35,25.32,9.7429
232.35,25.24,9.743
233.36,25.4,9.7429
234.36,25.21,9.743
235.36,25.21,9.7429
236.36,25.32,9.7428
237.36,25.26,9.7429
238.36,25.22,9.7429
239.36,25.31,9.7428
240.37,25.21,9.7428
241.37,25.17,9.7428
242.37,25.31,9.7428
243.37,25.29,9.7429
244.37,25.32,9.7428
