run_folder;analysis;algorithm;project;class;method;merge_commit;occurrence_id;reason;raw_value_found
results1;ioa;CHA;git-client-plugin;org.jenkinsci.plugins.gitclient.jgit.PreemptiveAuthHttpClientConnectionTest;goUp_noPath();90b31f6f4d2ae0a70b37843c136461bfe1c21994;0;INVALID_VALUE_IN_OA Inter;not-found
results1;ioa;CHA;coverity-plugin;jenkins.plugins.coverity.CIMInstanceTest;getIssuesForView_logsMissingColumns();d24f4fd6c49ce41b60d6211d24eb165ae6188c81;0;INVALID_VALUE_IN_OA Inter;not-found
results1;ioa;CHA;coverity-plugin;jenkins.plugins.coverity.CIMInstanceTest;getIssuesForView_handlesPagingAndLogsProgess();d24f4fd6c49ce41b60d6211d24eb165ae6188c81;0;INVALID_VALUE_IN_OA Inter;not-found
results1;ioa;CHA;mailer-plugin;hudson.tasks.MailSenderTest;testIncludeUpstreamCulprits();021f80f4d6d5f008f0b673df1465e4ad849ac52a;0;INVALID_VALUE_IN_OA Inter;not-found
results1;ioa;CHA;mailer-plugin;hudson.tasks.MailSenderTest;forbiddenMail();021f80f4d6d5f008f0b673df1465e4ad849ac52a;0;INVALID_VALUE_IN_OA Inter;not-found
results1;ioa;CHA;coverity-plugin;jenkins.plugins.coverity.ws.DefectReaderTest;getLatestDefectsForBuild_withNoDefectFilters_addDefectsToBuildAction();62bdb6232eea84510734c8fee133d6568251b0b9;0;INVALID_VALUE_IN_OA Inter;not-found
results1;ioa;CHA;disk-usage-plugin;hudson.plugins.disk_usage.integration.ProjectDiskUsageActionTest;getAllBuildDiskUsageFiltered();f527c92357bed2cfa432c19b1673edd642ea49ad;0;INVALID_VALUE_IN_OA Inter;not-found
results1;ioa;CHA;disk-usage-plugin;hudson.plugins.disk_usage.integration.DiskUsagePropertyTest;testGetAllDiskUsageOfBuild();f527c92357bed2cfa432c19b1673edd642ea49ad;0;INVALID_VALUE_IN_OA Inter;not-found
results1;ioa;CHA;jclouds-plugin;jenkins.plugins.jclouds.compute.JCloudsCloudTest;testConfigurationUI();b7620d50052a81ed2fc373a1aa77d48f55372b8f;0;INVALID_VALUE_IN_OA Inter;not-found
results1;ioa;CHA;coverity-plugin;jenkins.plugins.coverity.CoverityTool.CovBuildCommandTest;commandForScriptSourcesTest();7ce14e1f9746cbd72d358c35c42361a2b5aba884;0;INVALID_VALUE_IN_OA Inter;not-found
results1;ioa;CHA;coverity-plugin;jenkins.plugins.coverity.CoverityTool.CovBuildCommandTest;commandForCompileSourcesTest_WithTaOptions();7ce14e1f9746cbd72d358c35c42361a2b5aba884;0;INVALID_VALUE_IN_OA Inter;not-found
results1;ioa;CHA;coverity-plugin;jenkins.plugins.coverity.CoverityTool.CovBuildCommandTest;cannotExecuteTest();7ce14e1f9746cbd72d358c35c42361a2b5aba884;0;INVALID_VALUE_IN_OA Inter;not-found
results1;ioa;CHA;coverity-plugin;jenkins.plugins.coverity.CoverityTool.CovBuildCommandTest;commandForCompileSourcesTest_WithAdditionalBuildArguments();7ce14e1f9746cbd72d358c35c42361a2b5aba884;0;INVALID_VALUE_IN_OA Inter;not-found
results1;ioa;CHA;spark;spark.embeddedserver.jetty.EmbeddedJettyFactoryTest;create();bc05286f21e4abb498f728bcbbdbb9283458a40c;0;INVALID_VALUE_IN_OA Inter;not-found
results1;ioa;CHA;spark;spark.GenericIntegrationTest;setup();e975642b835fda306eaf0fe0339fbc92fe7b8333;0;INVALID_VALUE_IN_OA Inter;not-found
results1;ioa;CHA;spark;spark.GenericIntegrationTest;setup();e5d84a2acb5352c98db084722e2164b6b2073809;0;INVALID_VALUE_IN_OA Inter;not-found
results1;ioa;CHA;spark;spark.GenericIntegrationTest;setup();4f64ce71d8eec6fdd251fd4a4ae55c02896156d9;0;INVALID_VALUE_IN_OA Inter;not-found
results1;ioa;CHA;spark;spark.examples.filter.FilterExampleAttributes;main(String[]);d82881f845c8e678e1159e19b13aa13204bfd294;0;INVALID_VALUE_IN_OA Inter;not-found
results1;ioa;CHA;pom-manipulation-ext;org.commonjava.maven.ext.cli.CliTest;checkDependencies();d345d2903261da5654653f58df810c3fa413e32c;0;INVALID_VALUE_IN_OA Inter;not-found
results1;ioa;CHA;dbdeploy;com.dbdeploy.integration.DirectToDbIntegrationTest;shouldBeAbleToRecoverFromBadScriptsJustByRunningCorrectedScriptsAgain();50e6bb3003bf2e91512f9263a966f9e30fb17113;0;INVALID_VALUE_IN_OA Inter;not-found
results1;ioa;CHA;spotify-web-api-java;com.wrapper.spotify.TestUtil;readFromFile(File);86bf0c7f5b0988b67d0191025981674cc6afe430;0;INVALID_VALUE_IN_OA Inter;not-found
results1;ioa;CHA;spotify-web-api-java;com.wrapper.spotify.TestUtil;readFromFile(File);86bf0c7f5b0988b67d0191025981674cc6afe430;1;INVALID_VALUE_IN_OA Inter;not-found
results1;ioa;CHA;jqplot4java;jqplot.BarChartTest;testBarChart();578e717e1a96d93391bca2868be514fbc8a764c3;0;INVALID_VALUE_IN_OA Inter;not-found
results1;ioa;CHA;license-maven-plugin;com.mycila.maven.plugin.license.git.CopyrightAuthorProviderTest;assertAuthor(CopyrightAuthorProvider, String, String, String);a25a1c61ec15b2610bc5baae86aa3f814c32745b;0;INVALID_VALUE_IN_OA Inter;not-found
results1;ioa;CHA;license-maven-plugin;com.mycila.maven.plugin.license.git.CopyrightRangeProviderTest;assertRange(CopyrightRangeProvider, String, String, String, String, String, String);a25a1c61ec15b2610bc5baae86aa3f814c32745b;0;INVALID_VALUE_IN_OA Inter;not-found
results1;ioa;CHA;jsons2xsd;com.ethlo.jsons2xsd.ConversionTest;testCustomNames();f9816050401ceaf9875554e8ade757c8fcf12741;0;INVALID_VALUE_IN_OA Inter;not-found
results1;ioa;CHA;migration-tools;com.nuodb.migrator.integration.types.MySQLTypes;getMappedLength(String, String, String);de0e2f210167f6fea3a5a9937dfe42e1dccb4ddb;0;INVALID_VALUE_IN_OA Inter;not-found
results1;ioa;CHA;migration-tools;com.nuodb.migrator.integration.types.MySQLTypes;getMappedJDBCType(String, String);de0e2f210167f6fea3a5a9937dfe42e1dccb4ddb;0;INVALID_VALUE_IN_OA Inter;not-found
results1;ioa;CHA;dnssecjava;org.jitsi.dnssec.unbound.rpl.UnboundTests;runUnboundTest();05cb5d378fe90768618ce158335fbcb564274790;0;INVALID_VALUE_IN_OA Inter;not-found
results1;ioa;CHA;sql-processor;org.sample.SampleSqlProcessingIdPlugin;getProcessingId(String, Object, SqlControl);4e7851a544957454ab1795647f56cee208cdabb5;0;INVALID_VALUE_IN_OA Inter;not-found
results1;ioa;CHA;sql-processor;org.sample.model.PersonDetail;getProcessingId(Object);4e7851a544957454ab1795647f56cee208cdabb5;0;INVALID_VALUE_IN_OA Inter;not-found
results1;ioa;CHA;sql-processor;org.sqlproc.sample.simple.Main;main(String[]);698fa6c48c7df343e390675eacd507b886609038;0;INVALID_VALUE_IN_OA Inter;not-found
results1;ioa;CHA;sql-processor;org.sqlproc.engine.impl.TestStandardParameters;getDataSetFile(String);8968e32ea09be0994799e017dbaf14422ff7afe2;0;INVALID_VALUE_IN_OA Inter;not-found
results1;ioa;CHA;sql-processor;org.sqlproc.engine.impl.TestStandardParameters;testStandardParameters();8968e32ea09be0994799e017dbaf14422ff7afe2;0;INVALID_VALUE_IN_OA Inter;not-found
results1;ioa;CHA;sql-processor;org.sqlproc.engine.impl.TestStandardParameters;testFromToParameters();8968e32ea09be0994799e017dbaf14422ff7afe2;0;INVALID_VALUE_IN_OA Inter;not-found
results1;ioa;CHA;sql-processor;org.sqlproc.engine.impl.TestStandardTypes;testStandardTypes();8968e32ea09be0994799e017dbaf14422ff7afe2;0;INVALID_VALUE_IN_OA Inter;not-found
results1;ioa;CHA;sql-processor;org.sqlproc.engine.impl.TestStandardTypes;testStandardTypes2();8968e32ea09be0994799e017dbaf14422ff7afe2;0;INVALID_VALUE_IN_OA Inter;not-found
results1;ioa;CHA;sql-processor;org.sqlproc.engine.impl.TestUndefinedTypes;testUndefinedTypes2();8968e32ea09be0994799e017dbaf14422ff7afe2;0;INVALID_VALUE_IN_OA Inter;not-found
results1;ioa;CHA;sql-processor;org.sqlproc.engine.impl.TestUndefinedTypes;testUndefinedTypes();8968e32ea09be0994799e017dbaf14422ff7afe2;0;INVALID_VALUE_IN_OA Inter;not-found
results1;ioa;CHA;sql-processor;org.sqlproc.engine.impl.TestUndefinedParameters;getDataSetFile(String);8968e32ea09be0994799e017dbaf14422ff7afe2;0;INVALID_VALUE_IN_OA Inter;not-found
results1;ioa;CHA;sql-processor;org.sqlproc.engine.impl.TestUndefinedParameters;testUndefinedParameters();8968e32ea09be0994799e017dbaf14422ff7afe2;0;INVALID_VALUE_IN_OA Inter;not-found
results1;ioa;CHA;riak-java-client;com.basho.riak.client.http.itest.ITestBasic;deleteQuorumIsApplied();6363c8f70dc57737390f542720c6a571e993958f;0;INVALID_VALUE_IN_OA Inter;not-found
results1;ioa;CHA;stapler;org.kohsuke.stapler.jelly.groovy.GroovyClassLoaderTearOffTest;testGettext();e4c10835694bc8f5db30ffa1c15c50469c60acd8;0;INVALID_VALUE_IN_OA Inter;not-found
results1;ioa;CHA;iban4j;org.iban4j.TestDataHelper;getIbanData();52ace4f3cfdb442793c5a0b0f4b58c8fa5397c69;0;INVALID_VALUE_IN_OA Inter;not-found
results1;ioa;CHA;iban4j;org.iban4j.TestDataHelper;getIbanData();f3bf7d2b03dc703f74882f2f478e90e86db121a1;0;INVALID_VALUE_IN_OA Inter;not-found
results1;ioa;CHA;roller;org.apache.roller.selenium.InitialLoginTestIT;setUp();0e2fb77da19d6fa0b2d829fc626e8a6482479604;0;INVALID_VALUE_IN_OA Inter;not-found
results1;ioa;CHA;directory-kerby;org.apache.kerberos.kerb.crypto.String2keyTest;testWith(TestCase);0ce18e3a426e9617742aee6d7fdba76a6faf58a9;0;INVALID_VALUE_IN_OA Inter;not-found
results1;ioa;CHA;remoting-jmx;org.jboss.remotingjmx.common.JMXRemotingServer;JMXRemotingServer(JMXRemotingConfig);de3218ef58ebd3293e2afbe472f5a90f5c33e0e0;0;INVALID_VALUE_IN_OA Inter;not-found
results1;ioa;CHA;remoting-jmx;org.jboss.remotingjmx.common.JMXRemotingServer;start();de3218ef58ebd3293e2afbe472f5a90f5c33e0e0;0;INVALID_VALUE_IN_OA Inter;not-found
results1;ioa;CHA;java-iban;nl.garvelink.iban.CountryCodesParameterizedTest;PARAMETERS;981e0311705b2f83cabb82c9c9e098952960b248;0;INVALID_VALUE_IN_OA Inter;not-found
results1;ioa;CHA;gwtbootstrap3;com.svenjacobs.gwtbootstrap3.demo.client.DemoEntryPoint;onModuleLoad();06aa5c07dae8f30904c70a5987c614e0620e66bd;0;INVALID_VALUE_IN_OA Inter;not-found
results1;ioa;CHA;jgralab;de.uni_koblenz.jgralab.greql2.optimizer.PathExistenceToDirectedPathExpressionOptimizer;optimize(GreqlEvaluator, Greql2);f475191b1bb19e089d61d4d35056c1306db833a9;0;INVALID_VALUE_IN_OA Inter;not-found
results1;ioa;CHA;jgralab;de.uni_koblenz.jgralabtest.greql2.ParserTest;testForallExpression();70c7b81959da8e726b6fc1bdaae4fd78c940bc87;0;INVALID_VALUE_IN_OA Inter;not-found
results1;ioa;CHA;nfe;com.fincatto.documentofiscal.DFUnidadeFederativaTest;deveRepresentarOCodigoCorretamente();eae6aafc07ee7019d90ad6fcee9afd164d2cfe85;0;INVALID_VALUE_IN_OA Inter;not-found
results1;ioa;CHA;jgralab;de.uni_koblenz.jgralab.greql2.evaluator.costmodel.DefaultCostModel;calculateCardinalitySetComprehension(SetComprehensionEvaluator, GraphSize);70c7b81959da8e726b6fc1bdaae4fd78c940bc87;0;INVALID_VALUE_IN_OA Inter;not-found
results1;ioa;CHA;nfe;com.fincatto.documentofiscal.DFUnidadeFederativaTest;deveRepresentarOCodigoCorretamente();e74a5e0a7663af58116cda89208a08f1589e0ff1;0;INVALID_VALUE_IN_OA Inter;not-found
results1;ioa;CHA;jgralab;de.uni_koblenz.jgralab.schema.impl.SchemaImpl;getVertexCreateMethod(QualifiedName, QualifiedName);1502a3525248376410ba747530bf6ef93a0656f2;0;INVALID_VALUE_IN_OA Inter;not-found
results1;ioa;CHA;jgralab;de.uni_koblenz.jgralab.schema.impl.SchemaImpl;commit();1502a3525248376410ba747530bf6ef93a0656f2;0;INVALID_VALUE_IN_OA Inter;not-found
results1;ioa;CHA;jgralab;de.uni_koblenz.jgralab.greql2.evaluator.vertexeval.FunctionApplicationEvaluator;getFunctionName();1502a3525248376410ba747530bf6ef93a0656f2;0;INVALID_VALUE_IN_OA Inter;not-found
results1;ioa;CHA;jgralab;de.uni_koblenz.jgralab.schema.impl.EdgeClassImpl;addSuperClass(EdgeClass);1502a3525248376410ba747530bf6ef93a0656f2;0;INVALID_VALUE_IN_OA Inter;not-found
results1;ioa;CHA;nfe;com.fincatto.nfe310.FabricaDeObjetosFake;getConfig();f5098f55c819dc8fc490d4feefefbde97c9c1d55;0;INVALID_VALUE_IN_OA Inter;not-found
results1;ioa;CHA;jgralab;de.uni_koblenz.jgralab.greql2.evaluator.costmodel.DefaultCostModel;calculateCostsGreql2Expression(Greql2ExpressionEvaluator, GraphSize);1502a3525248376410ba747530bf6ef93a0656f2;0;INVALID_VALUE_IN_OA Inter;not-found
results1;ioa;CHA;jgralab;de.uni_koblenz.jgralab.greql2.evaluator.costmodel.DefaultCostModel;calculateCostsConditionalExpression(ConditionalExpressionEvaluator, GraphSize);1502a3525248376410ba747530bf6ef93a0656f2;0;INVALID_VALUE_IN_OA Inter;not-found
results1;ioa;CHA;jgralab;de.uni_koblenz.jgralab.greql2.evaluator.costmodel.DefaultCostModel;calculateCostsBackwardVertexSet(BackwardVertexSetEvaluator, GraphSize);1502a3525248376410ba747530bf6ef93a0656f2;0;INVALID_VALUE_IN_OA Inter;not-found
results1;ioa;CHA;jgralab;de.uni_koblenz.jgralab.GraphIO;writeHierarchy(Package, AttributedElementClass);1502a3525248376410ba747530bf6ef93a0656f2;0;INVALID_VALUE_IN_OA Inter;not-found
results1;ioa;CHA;jgralab;de.uni_koblenz.jgralab.greql2.evaluator.fa.SimpleTransition;SimpleTransition(State, State, AllowedEdgeDirection, JValueTypeCollection, String);1502a3525248376410ba747530bf6ef93a0656f2;0;INVALID_VALUE_IN_OA Inter;not-found
results1;ioa;CHA;jgralab;de.uni_koblenz.jgralab.greql2.optimizer.CommonSubgraphOptimizer;mergeSourcePositionsBelow(Greql2Vertex, Greql2Vertex);1502a3525248376410ba747530bf6ef93a0656f2;0;INVALID_VALUE_IN_OA Inter;not-found
results1;ioa;CHA;jgralab;de.uni_koblenz.jgralab.schema.impl.CollectionDomainImpl;CollectionDomainImpl(Schema, QualifiedName, Domain);1502a3525248376410ba747530bf6ef93a0656f2;0;INVALID_VALUE_IN_OA Inter;not-found
results1;ioa;CHA;jgralab;de.uni_koblenz.jgralab.impl.GraphBaseImpl;internalDeleteEdge(Edge);7280e66b283a5941b96f6fbf22e8795bf70b0d47;0;INVALID_VALUE_IN_OA Inter;not-found
