analysis;algorithm;project;class;method;merge_commit;occurrence_id;mean;median;stdev;executions_count;exec_1;exec_2;exec_3;exec_4;exec_5;exec_6;exec_7;exec_8;exec_9;exec_10
icf;CHA;helpscout-api-java;net.helpscout.api.ApiClient;getPage(String, Map<String,String>, Class<?>, int);f606dc7048e32d8953594011ce7a80f8f325a5eb;0;6.511;6.525;0.237;10;6.384;5.994;6.665;6.495;6.811;6.687;6.726;6.440;6.555;6.358
icf;CHA;hbnpojogen;com.felees.hbnpojogen.Config;fillBasicEntries();16f458ccc0b3675ec72a298481794ed4afd70666;0;300.021;300.019;0.004;10;300.022;300.018;300.018;300.033;300.021;300.020;300.020;300.018;300.019;300.019
icf;CHA;hprof-parser;edu.tufts.eaftan.hprofparser.parser.HprofParser;parseRecord(DataInput, int);3668fd734f79c2b949f0703654dfda812c800707;0;5.041;5.198;0.351;10;4.965;5.322;5.333;5.184;5.268;5.241;4.940;5.212;4.734;4.207
icf;CHA;helpscout-api-java;net.helpscout.api.ApiClient;setFields(String, List<String>);7dde5bbe5d07ba446e8d8b7b942d378b40f2b5c3;0;4.159;4.249;0.349;10;4.159;4.432;3.797;4.429;4.369;4.610;3.528;4.303;4.196;3.768
icf;CHA;helpscout-api-java;net.helpscout.api.ApiClient;getPage(String, Class<?>, int);7dde5bbe5d07ba446e8d8b7b942d378b40f2b5c3;0;4.533;4.563;0.163;10;4.360;4.706;4.369;4.239;4.550;4.712;4.609;4.577;4.689;4.515
icf;CHA;helpscout-api-java;net.helpscout.api.Parser;Parser();7dde5bbe5d07ba446e8d8b7b942d378b40f2b5c3;0;4.922;4.906;0.158;10;5.250;5.020;4.886;4.735;4.972;4.835;4.923;4.693;4.890;5.013
icf;CHA;helpscout-api-java;net.helpscout.api.adapters.ThreadsAdapater;deserialize(JsonElement, Type, JsonDeserializationContext);b4963a5777344c814c99822967351c819072fbf5;0;4.942;5.040;0.300;10;5.078;5.332;5.282;4.746;5.003;5.084;5.122;4.487;4.493;4.794
icf;CHA;ldp-testsuite;org.w3.ldp.testsuite.reporter.LdpHtmlReporter;getAdditionalInfo(ITestResult, ITestNGMethod);a7515238ae8139c8d6b2ee7e042183294ca3869f;0;5.691;5.940;0.499;10;5.937;5.969;6.092;6.060;5.280;5.435;5.942;6.102;4.542;5.551
icf;CHA;ldp-testsuite;org.w3.ldp.testsuite.reporter.LdpEarlTestManifest;generateInformation(Method, String, ArrayList<ArrayList<Resource>>);a8f3dba6c261c5d9f6d8eff73f72e2712b9d25a4;0;5.372;5.534;0.396;10;5.651;5.693;5.669;4.860;4.894;5.130;5.676;5.861;5.417;4.864
icf;CHA;jetty-bootstrap;org.teknux.jettybootstrap.JettyBootstrap;shutdown(IJettyConfiguration);6a9f52a5377a484397eeca4b0511f356f493696f;0;208.849;221.550;31.303;10;232.343;221.983;218.426;226.789;222.190;221.117;211.530;232.794;150.361;150.960
icf;CHA;jetty-bootstrap;org.teknux.jettybootstrap.handler.AbstractAppJettyHandler;createHandler();17deab171882d57f5d02052ea6e631cb11aa0d55;0;300.036;300.020;0.053;10;300.021;300.186;300.020;300.022;300.015;300.020;300.018;300.017;300.017;300.021
icf;CHA;jetty-bootstrap;org.teknux.jettybootstrap.handler.AbstractJettyHandler;getHandler();17deab171882d57f5d02052ea6e631cb11aa0d55;0;215.837;226.330;28.206;10;237.802;218.427;226.286;232.589;231.599;232.336;226.184;226.374;158.868;167.908
icf;CHA;jetty-bootstrap;org.teknux.jettybootstrap.JettyBootstrap;addWarApp(String, String);17deab171882d57f5d02052ea6e631cb11aa0d55;0;214.055;224.748;27.864;10;224.283;230.419;218.667;230.369;222.246;225.212;231.141;233.813;168.384;156.020
icf;CHA;jetty-bootstrap;org.teknux.jettybootstrap.JettyBootstrap;addExplodedWarAppFromClasspath(String, String, String);17deab171882d57f5d02052ea6e631cb11aa0d55;0;216.188;227.065;23.320;10;226.317;231.004;217.668;227.812;224.043;230.509;229.895;229.020;177.867;167.740
icf;CHA;jetty-bootstrap;org.teknux.jettybootstrap.JettyBootstrap;addExplodedWarApp(String, String, String);17deab171882d57f5d02052ea6e631cb11aa0d55;0;215.014;224.980;21.685;10;228.878;225.245;221.901;216.974;224.714;227.524;226.643;229.145;178.113;171.006
icf;CHA;jetty-bootstrap;org.teknux.jettybootstrap.JettyBootstrap;addHandler(Handler);17deab171882d57f5d02052ea6e631cb11aa0d55;0;213.873;222.704;25.917;10;216.834;229.994;219.378;225.860;229.023;219.547;228.517;236.065;156.910;176.600
icf;CHA;jetty-bootstrap;org.teknux.jettybootstrap.JettyBootstrap;addWarAppFromClasspath(String, String);17deab171882d57f5d02052ea6e631cb11aa0d55;0;214.176;229.820;32.900;10;218.248;231.155;233.606;231.527;233.866;235.638;222.690;228.486;142.913;163.635
icf;CHA;jetty-bootstrap;org.teknux.jettybootstrap.JettyBootstrap;stopServer();8a2b05ce18ff6c5ee8887b1c320c9735636126da;0;3.958;4.027;0.294;10;4.062;4.145;3.722;3.993;4.195;4.282;4.348;3.637;3.591;3.606
icf;CHA;sectioned-view-plugin;hudson.plugins.sectioned_view.SectionedViewSectionDescriptor;newInstance(StaplerRequest, JSONObject);f79afadc89e325e4258847928fd9392dd78e5b64;0;3.831;3.899;0.296;10;3.814;3.984;4.119;3.717;3.740;4.103;4.127;3.999;3.264;3.446
